,0_acc,10_acc,1_acc,2_acc,3_acc,4_acc,5_acc,6_acc,7_acc,8_acc,9_acc,cat_acc,climbing,elbo,kl_loss,reconstruction_loss,trainable_vars_tracker,val_0_acc,val_10_acc,val_1_acc,val_2_acc,val_3_acc,val_4_acc,val_5_acc,val_6_acc,val_7_acc,val_8_acc,val_9_acc,val_cat_acc,val_climbing,val_elbo,val_kl_loss,val_reconstruction_loss,val_trainable_vars_tracker,loss
0,0.1504245102405548,0.6174264550209045,0.6169251203536987,0.00604035472497344,0.009766485542058945,0.004848008509725332,0.6077018976211548,0.0024321433156728745,0.015252845361828804,0.6058384776115417,0.003120862413197756,0.5944551229476929,0.0,1.3393933773040771,0.0,1.3393933773040771,0.0,0.15134099125862122,0.5754586458206177,0.5678653120994568,0.0,0.0,0.0,0.5768979787826538,0.0,0.02083333395421505,0.5952895879745483,0.0,0.5774657130241394,1.0,2.6750152111053467,0.0,2.6750152111053467,144.0,"<autoencoder name=autoencoder, built=False>"
1,0.3195488750934601,0.6323084831237793,0.6393584609031677,0.2222222238779068,0.0,0.0,0.6433600783348083,0.0,1.0,0.6252074241638184,0.0,0.6351147890090942,0.0,0.8848199844360352,0.0,0.8848199844360352,0.0,0.21709862351417542,0.5881404876708984,0.5774459838867188,0.1983356475830078,0.0,0.0,0.5556381344795227,0.08024691045284271,0.2666666805744171,0.6006439328193665,0.0,0.5761765837669373,1.0,1.8681355714797974,0.0,1.8681355714797974,144.0,"<autoencoder name=autoencoder, built=False>"
2,0.34919875860214233,0.6504378914833069,0.6520514488220215,0.21711711585521698,0.18446601927280426,0.17307692766189575,0.6528857350349426,0.0,0.3507462739944458,0.6464546322822571,0.3333333432674408,0.6496726870536804,0.0,0.7932789921760559,0.0,0.7932789921760559,0.0,0.18887567520141602,0.6266303658485413,0.6133623719215393,0.0,0.08803611993789673,0.0,0.6020236015319824,0.0,0.0,0.660226047039032,0.0,0.6208537817001343,1.0,1.3601171970367432,0.0,1.3601171970367432,144.0,"<autoencoder name=autoencoder, built=False>"
3,0.5102129578590393,0.6821216344833374,0.6831204295158386,0.6000000238418579,0.1764705926179886,0.5,0.6815940141677856,0.0,0.3333333432674408,0.6762977838516235,0.0,0.6805850863456726,0.0,0.734494686126709,0.0,0.734494686126709,0.0,0.26327192783355713,0.6387916803359985,0.6252256035804749,0.0,0.0,0.0,0.6231604218482971,0.0,0.0,0.6880459785461426,0.0,0.6397608518600464,1.0,1.1493251323699951,0.0,1.1493251323699951,144.0,"<autoencoder name=autoencoder, built=False>"
4,0.5107777118682861,0.7080719470977783,0.7140434980392456,0.28787878155708313,0.3636363744735718,0.15789473056793213,0.7090251445770264,0.0,0.4038461446762085,0.7069392204284668,0.0,0.7089625000953674,0.0,0.687739908695221,0.0,0.687739908695221,0.0,0.2897787094116211,0.6407140493392944,0.6291942000389099,0.0,0.1111111119389534,0.0,0.6563662886619568,0.07999999821186066,0.0,0.7035329341888428,0.0,0.6538092494010925,1.0,1.0314209461212158,0.0,1.0314209461212158,144.0,"<autoencoder name=autoencoder, built=False>"
5,0.4970824122428894,0.7345837950706482,0.7388353943824768,0.3916666805744171,0.2571428716182709,0.4000000059604645,0.7334490418434143,0.09090909361839294,0.49152541160583496,0.7342708110809326,0.0,0.734284520149231,0.0,0.6485666632652283,0.0,0.6485666632652283,0.0,0.31341302394866943,0.6530922055244446,0.6593415141105652,0.39603960514068604,0.0,0.0,0.6714664101600647,0.09090909361839294,0.0,0.7109603881835938,0.0,0.6716934442520142,1.0,0.9331588745117188,0.0,0.9331588745117188,144.0,"<autoencoder name=autoencoder, built=False>"
6,0.5294473171234131,0.7528942823410034,0.7592806220054626,0.46046510338783264,0.3333333432674408,0.46464645862579346,0.75236576795578,0.09090909361839294,0.4528301954269409,0.7536956071853638,0.2222222238779068,0.7534251809120178,0.0,0.6182515621185303,0.0,0.6182515621185303,0.0,0.33519554138183594,0.6645246744155884,0.6710003614425659,0.3567567467689514,0.20000000298023224,0.0,0.6970537900924683,0.1111111119389534,0.0,0.7224286794662476,0.0,0.6870242357254028,0.0,0.8576808571815491,0.0,0.8576808571815491,144.0,"<autoencoder name=autoencoder, built=False>"
7,0.5611432790756226,0.7722659111022949,0.7763221263885498,0.4789271950721741,0.36305731534957886,0.516853928565979,0.7719746232032776,0.37931033968925476,0.5744680762290955,0.7703847289085388,0.3461538553237915,0.77158123254776,0.0,0.5889637470245361,0.0,0.5889637470245361,0.0,0.3337028920650482,0.6725106835365295,0.6760208010673523,0.3535911738872528,0.4285714328289032,0.0,0.7159585952758789,0.0,0.0,0.7275612354278564,0.0,0.6963346600532532,1.0,0.8166406154632568,0.0,0.8166406154632568,144.0,"<autoencoder name=autoencoder, built=False>"
8,0.5671083927154541,0.7881836295127869,0.7906899452209473,0.4734848439693451,0.3333333432674408,0.5075757503509521,0.785487711429596,0.23076923191547394,0.4633333384990692,0.7844409346580505,0.4571428596973419,0.7857930660247803,0.0,0.5652718544006348,0.0,0.5652718544006348,0.0,0.3972809612751007,0.6845905780792236,0.6846174597740173,0.45652174949645996,0.19354838132858276,0.0,0.723198413848877,0.08552631735801697,0.0,0.746635377407074,0.0,0.7076541781425476,1.0,0.7765985727310181,0.0,0.7765985727310181,144.0,"<autoencoder name=autoencoder, built=False>"
9,0.5795955657958984,0.8021956086158752,0.8025128841400146,0.4900849759578705,0.36563876271247864,0.5527950525283813,0.7988286018371582,0.23711340129375458,0.4911392331123352,0.7978341579437256,0.4262295067310333,0.7988272309303284,0.0,0.5396870970726013,0.0,0.5396870970726013,0.0,0.40419769287109375,0.6974021792411804,0.6876251697540283,0.3571428656578064,0.043478261679410934,0.008064515888690948,0.7267623543739319,0.0,0.1666666716337204,0.7632123827934265,0.0,0.7161842584609985,1.0,0.7495629787445068,0.0,0.7495629787445068,144.0,"<autoencoder name=autoencoder, built=False>"
