,dist,p1,p2
195,0.99698150540411,10,16
196,0.6669283050646354,10,18
197,0.7574399884430472,10,19
198,0.6751257364211037,10,20
199,0.7085027737561869,10,21
200,0.8539718371081196,10,22
201,0.6901424185053413,10,23
202,1.3439819320141202,10,24
203,0.842066329742829,10,25
204,0.7816992027304438,10,26
206,0.728198116583106,11,12
207,0.8189110264152624,11,13
208,0.8277287902559829,11,14
209,0.764982871540504,11,15
210,0.8681962857888323,11,16
211,0.7603207673694531,11,18
212,0.7589411990754588,11,19
213,0.7909380882842977,11,20
214,0.7311817950806276,11,21
215,0.8103366124736072,11,22
216,0.8482983048642352,11,23
217,1.625136557243286,11,24
218,0.8351067882291594,11,25
219,1.0313663954294705,11,26
221,0.6528220830374724,12,13
222,0.6805447558554386,12,14
223,0.5955157627793914,12,15
224,0.7278828756827894,12,16
225,0.5846323308544072,12,18
226,0.5899890662874162,12,19
227,0.6197668597797776,12,20
228,0.552707298474699,12,21
229,0.6548579645303508,12,22
230,0.6910024229729484,12,23
231,1.5393607794398267,12,24
232,0.6761965119228815,12,25
233,0.9041603312586051,12,26
235,0.8727329369096309,13,14
236,0.7086208376452017,13,15
237,0.939838652864421,13,16
238,0.6500835601051215,13,18
239,0.724348801839947,13,19
240,0.663323931823808,13,20
241,0.6786700283018144,13,21
242,0.8124332310198288,13,22
243,0.6884962403767747,13,23
244,1.385029326739357,13,24
245,0.8048438267788779,13,25
246,0.8064657097794474,13,26
248,0.6947815956916674,14,15
249,0.6431886691238707,14,16
250,0.7519377274247014,14,18
251,0.6606537423715753,14,19
252,0.8034098299969791,14,20
253,0.6458565203731547,14,21
254,0.667952568274144,14,22
255,0.914104031159258,14,23
256,1.8542407889349861,14,24
257,0.7480897760484693,14,25
258,1.1978461056766743,14,26
260,0.7362596137314636,15,16
261,0.6365430341452211,15,18
262,0.6240128255768965,15,19
263,0.672716319144434,15,20
264,0.5922016471151599,15,21
265,0.6793979252390124,15,22
266,0.7490061727500209,15,23
267,1.597884905656591,15,24
268,0.7147854612073136,15,25
269,0.9668102233284369,15,26
271,0.8049272026804379,16,18
272,0.6997889899832888,16,19
273,0.861145802015845,16,20
