"","pop","individual","value","cluster","cluster_size"
"147",1,6,2,"Cluster 4",28
"148",1,6,2,"Cluster 5",1
"149",1,6,2,"Cluster 6",14
"150",1,6,2,"Cluster 7",79
"151",1,6,2,"Cluster 8",94
"152",1,6,2,"Cluster 9",29
"153",1,7,1,"Cluster 1",4
"154",1,7,1,"Cluster 10",27
"155",1,7,1,"Cluster 11",40
"156",1,7,1,"Cluster 2",4
"157",1,7,1,"Cluster 3",10
"158",1,7,1,"Cluster 4",40
"159",1,7,1,"Cluster 5",9
"160",1,7,1,"Cluster 6",223
"161",1,7,1,"Cluster 7",10
"162",1,7,1,"Cluster 8",4
"163",1,7,1,"Cluster 9",64
"164",1,7,2,"Cluster 1",5
"165",1,7,2,"Cluster 10",37
"166",1,7,2,"Cluster 11",44
"167",1,7,2,"Cluster 12",3
"168",1,7,2,"Cluster 13",22
"169",1,7,2,"Cluster 14",10
"170",1,7,2,"Cluster 15",13
"171",1,7,2,"Cluster 2",16
"172",1,7,2,"Cluster 3",4
"173",1,7,2,"Cluster 4",23
"174",1,7,2,"Cluster 5",15
"175",1,7,2,"Cluster 6",51
"176",1,7,2,"Cluster 7",5
"177",1,7,2,"Cluster 8",4
"178",1,7,2,"Cluster 9",1
"179",1,8,1,"Cluster 1",57
"180",1,8,1,"Cluster 10",1
"181",1,8,1,"Cluster 11",50
"182",1,8,1,"Cluster 12",2
"183",1,8,1,"Cluster 13",13
"184",1,8,1,"Cluster 2",104
"185",1,8,1,"Cluster 3",6
"186",1,8,1,"Cluster 4",9
"187",1,8,1,"Cluster 5",11
"188",1,8,1,"Cluster 6",39
"189",1,8,1,"Cluster 7",8
"190",1,8,1,"Cluster 8",16
"191",1,8,1,"Cluster 9",57
"192",1,8,2,"Cluster 1",31
"193",1,8,2,"Cluster 10",18
"194",1,8,2,"Cluster 11",78
"195",1,8,2,"Cluster 12",34
"196",1,8,2,"Cluster 2",4
"197",1,8,2,"Cluster 3",6
"198",1,8,2,"Cluster 4",39
"199",1,8,2,"Cluster 5",8
"200",1,8,2,"Cluster 6",29
"201",1,8,2,"Cluster 7",10
"202",1,8,2,"Cluster 8",22
"203",1,8,2,"Cluster 9",14
"204",1,9,1,"Cluster 1",4
"205",1,9,1,"Cluster 10",32
"206",1,9,1,"Cluster 11",66
"207",1,9,1,"Cluster 12",8
"208",1,9,1,"Cluster 13",39
"209",1,9,1,"Cluster 2",11
"210",1,9,1,"Cluster 3",43
"211",1,9,1,"Cluster 4",4
"212",1,9,1,"Cluster 5",8
"213",1,9,1,"Cluster 6",9
"214",1,9,1,"Cluster 7",33
"215",1,9,1,"Cluster 8",51
"216",1,9,1,"Cluster 9",38
"217",1,9,2,"Cluster 1",58
"218",1,9,2,"Cluster 10",14
"219",1,9,2,"Cluster 11",29
"220",1,9,2,"Cluster 12",6
"221",1,9,2,"Cluster 13",24
"222",1,9,2,"Cluster 2",18
"223",1,9,2,"Cluster 3",11
"224",1,9,2,"Cluster 4",26
"225",1,9,2,"Cluster 5",66
"226",1,9,2,"Cluster 6",37
"227",1,9,2,"Cluster 7",8
"228",1,9,2,"Cluster 8",11
"229",1,9,2,"Cluster 9",7
"230",1,10,1,"Cluster 1",52
"231",1,10,1,"Cluster 10",55
"232",1,10,1,"Cluster 11",3
"233",1,10,1,"Cluster 12",2
"234",1,10,1,"Cluster 13",13
"235",1,10,1,"Cluster 14",19
"236",1,10,1,"Cluster 2",16
"237",1,10,1,"Cluster 3",5
"238",1,10,1,"Cluster 4",31
"239",1,10,1,"Cluster 5",15
"240",1,10,1,"Cluster 6",3
"241",1,10,1,"Cluster 7",3
"242",1,10,1,"Cluster 8",10
"243",1,10,1,"Cluster 9",6
"244",1,10,2,"Cluster 1",43
"245",1,10,2,"Cluster 10",36
"246",1,10,2,"Cluster 11",76
"247",1,10,2,"Cluster 12",8
"248",1,10,2,"Cluster 2",12
"249",1,10,2,"Cluster 3",18
"250",1,10,2,"Cluster 4",15
"251",1,10,2,"Cluster 5",44
"252",1,10,2,"Cluster 6",56
"253",1,10,2,"Cluster 7",81
"254",1,10,2,"Cluster 8",1
"255",1,10,2,"Cluster 9",1
"256",1,11,1,"Cluster 1",12
"257",1,11,1,"Cluster 10",2
"258",1,11,1,"Cluster 11",2
"259",1,11,1,"Cluster 12",3
"260",1,11,1,"Cluster 13",151
"261",1,11,1,"Cluster 2",3
"262",1,11,1,"Cluster 3",1
"263",1,11,1,"Cluster 4",83
"264",1,11,1,"Cluster 5",13
"265",1,11,1,"Cluster 6",15
"266",1,11,1,"Cluster 7",3
"267",1,11,1,"Cluster 8",35
"268",1,11,1,"Cluster 9",19
"269",1,11,2,"Cluster 1",28
"270",1,11,2,"Cluster 10",36
"271",1,11,2,"Cluster 11",29
"272",1,11,2,"Cluster 12",15
"273",1,11,2,"Cluster 13",16
"274",1,11,2,"Cluster 14",8
"275",1,11,2,"Cluster 2",1
"276",1,11,2,"Cluster 3",9
"277",1,11,2,"Cluster 4",5
"278",1,11,2,"Cluster 5",26
"279",1,11,2,"Cluster 6",43
"280",1,11,2,"Cluster 7",21
"281",1,11,2,"Cluster 8",24
"282",1,11,2,"Cluster 9",18
"283",1,12,1,"Cluster 1",1
"284",1,12,1,"Cluster 10",11
"285",1,12,1,"Cluster 11",6
"286",1,12,1,"Cluster 12",9
"287",1,12,1,"Cluster 13",77
"288",1,12,1,"Cluster 2",2
"289",1,12,1,"Cluster 3",2
"290",1,12,1,"Cluster 4",6
"291",1,12,1,"Cluster 5",20
"292",1,12,1,"Cluster 6",10
"293",1,12,1,"Cluster 7",3
"294",1,12,1,"Cluster 8",36
"295",1,12,1,"Cluster 9",1
"296",1,12,2,"Cluster 1",21
"297",1,12,2,"Cluster 10",96
"298",1,12,2,"Cluster 11",11
"299",1,12,2,"Cluster 12",2
"300",1,12,2,"Cluster 13",6
"301",1,12,2,"Cluster 14",63
"302",1,12,2,"Cluster 15",1
"303",1,12,2,"Cluster 16",24
"304",1,12,2,"Cluster 17",1
"305",1,12,2,"Cluster 18",13
"306",1,12,2,"Cluster 2",38
"307",1,12,2,"Cluster 3",25
"308",1,12,2,"Cluster 4",75
"309",1,12,2,"Cluster 5",14
"310",1,12,2,"Cluster 6",1
"311",1,12,2,"Cluster 7",28
"312",1,12,2,"Cluster 8",8
"313",1,12,2,"Cluster 9",9
"314",1,13,1,"Cluster 1",20
"315",1,13,1,"Cluster 10",44
"316",1,13,1,"Cluster 11",17
"317",1,13,1,"Cluster 12",6
"318",1,13,1,"Cluster 13",78
"319",1,13,1,"Cluster 14",25
"320",1,13,1,"Cluster 2",26
"321",1,13,1,"Cluster 3",6
"322",1,13,1,"Cluster 4",20
"323",1,13,1,"Cluster 5",37
"324",1,13,1,"Cluster 6",2
"325",1,13,1,"Cluster 7",2
"326",1,13,1,"Cluster 8",18
"327",1,13,1,"Cluster 9",6
"328",1,13,2,"Cluster 1",49
"329",1,13,2,"Cluster 10",1
"330",1,13,2,"Cluster 11",1
"331",1,13,2,"Cluster 2",36
"332",1,13,2,"Cluster 3",1
"333",1,13,2,"Cluster 4",28
"334",1,13,2,"Cluster 5",32
"335",1,13,2,"Cluster 6",78
"336",1,13,2,"Cluster 7",6
"337",1,13,2,"Cluster 8",9
"338",1,13,2,"Cluster 9",6
"339",1,14,1,"Cluster 1",1
"340",1,14,1,"Cluster 10",27
"341",1,14,1,"Cluster 11",1
"342",1,14,1,"Cluster 12",8
"343",1,14,1,"Cluster 13",3
"344",1,14,1,"Cluster 14",13
"345",1,14,1,"Cluster 2",12
"346",1,14,1,"Cluster 3",24
"347",1,14,1,"Cluster 4",56
"348",1,14,1,"Cluster 5",25
"349",1,14,1,"Cluster 6",45
"350",1,14,1,"Cluster 7",52
"351",1,14,1,"Cluster 8",37
"352",1,14,1,"Cluster 9",6
"353",1,14,2,"Cluster 1",9
"354",1,14,2,"Cluster 10",30
"355",1,14,2,"Cluster 11",5
"356",1,14,2,"Cluster 12",3
"357",1,14,2,"Cluster 13",23
"358",1,14,2,"Cluster 14",8
"359",1,14,2,"Cluster 15",84
"360",1,14,2,"Cluster 2",7
"361",1,14,2,"Cluster 3",16
"362",1,14,2,"Cluster 4",2
"363",1,14,2,"Cluster 5",15
"364",1,14,2,"Cluster 6",1
"365",1,14,2,"Cluster 7",3
"366",1,14,2,"Cluster 8",5
"367",1,14,2,"Cluster 9",73
"368",1,15,1,"Cluster 1",57
"369",1,15,1,"Cluster 10",3
"370",1,15,1,"Cluster 11",4
"371",1,15,1,"Cluster 12",18
"372",1,15,1,"Cluster 2",77
"373",1,15,1,"Cluster 3",17
"374",1,15,1,"Cluster 4",49
