,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,pop
0,-1.4305991,-1.5516319,1.2110602,-0.14579539,-0.6625811,0.17300996,0.59719205,1.5118682,0.55810195,-0.7376096,2.3061235,-0.78789234,-0.9038816,-0.046388596,-0.4453882,-0.52593416,-0.32496026,-1.3918324,0.346456,-0.13321616,-1.7695084,0.35167754,1.2172492,1.2710098,1.0765043,-1.5646107,0.5450324,0.8133451,0.751585,1.1093227,1.2448723,-0.38703963,-1.0913026,0.68148667,-1.013626,1.4553751,0.6656374,-0.19265932,-0.76605076,-0.7278201,1.0682071,-0.20254633,0.966149,-0.46841797,-0.34775138,0.24881695,-0.8321071,-2.652273,-0.31692937,1.6253023,-0.58024275,0.074485004,1.6613714,-1.9835919,0.47855788,-1.6577358,1.738189,0.77466583,-1.1508027,-0.4313683,-0.09355727,-0.6757446,-0.16794884,-1.8806828,0.7434717,0.3561273,0.080384575,1.0238752,-0.7114731,1.528947,1.5043201,1.4642917,-0.5530053,0.10431999,0.5961621,-0.12569833,-1.0041384,-0.13083896,0.35363597,-0.2032446,0.50233024,0.54596436,0.2275899,0.69761133,0.61365783,1.0303196,-0.29733202,-1.3810788,1.1569817,-0.6609985,2.4668295,0.082656085,0.049033925,0.7404446,-0.7230767,1.0962925,-1.8346822,0.5178016,-0.3741798,-0.046087235,2
1,-0.6277886,-0.39476418,1.4173261,-1.7352823,1.2540071,0.76282066,0.27790862,-0.04530011,-0.17493002,-0.22400805,-0.054127235,-0.67574096,0.49150357,-0.71957266,-2.200488,0.86251503,-0.15488102,1.569959,0.8037303,-0.7055564,-1.3413575,-0.48226526,0.99796903,0.7355598,0.6318725,-0.18045668,2.106227,0.72217655,-0.44505063,1.0516602,0.10205691,-0.26238033,0.05963457,-0.2296277,0.94610006,0.6162213,0.39224833,-0.16263348,-0.089736015,1.245093,1.4922707,-0.017364265,-0.24526788,-1.2193859,-0.8492239,-0.6245841,-1.021272,-3.2661197,-2.0730247,0.23585074,2.3050056,-1.4331536,-0.117907435,-0.092724696,-0.02030097,0.5378058,1.9853153,-0.66545796,-0.95968646,0.9474873,1.1018089,-0.28464606,-0.10618738,-1.1217121,-0.84013605,-1.4206842,-0.96977437,2.746787,-0.04616502,-0.027401755,1.780878,0.6128413,-1.458821,0.061551876,0.7971262,-0.2476952,-0.93268394,-1.5658779,0.7984737,-0.11097857,0.30767548,-0.55622876,0.48155242,0.9965444,0.54350394,-0.5871269,-0.39389217,-0.930812,2.5174832,-0.41004503,-0.15214893,0.25922355,2.2306411,0.16740204,-0.5244346,1.0724907,-0.2810003,1.9441999,0.9810756,-0.27469036,2
2,-0.61823875,-2.406419,-0.011136211,-0.09243428,-0.28472394,0.5705053,-1.4822493,-2.2726994,1.0749552,0.27318212,-0.05507799,-0.43786037,1.2998224,-0.48396826,0.5035496,-0.3860503,0.35293075,-0.3905951,-0.8966316,0.100664034,-0.007858522,-0.4120733,1.2258507,1.5029792,0.25154147,-0.75848174,0.1717165,-1.1030585,0.6344598,1.7246972,-0.53251016,-1.0151533,-0.8659927,-0.16670606,1.195224,-0.7778656,0.34968054,-0.5517178,-0.6381702,-0.77503747,0.7419772,0.5972154,1.8695966,-0.27537915,1.0719631,0.74535024,-0.33324468,-1.5484842,-0.35196292,1.0495605,0.5146151,0.117874295,-0.15903956,-0.9428883,2.1308577,0.18079092,0.8259385,1.4505364,0.021138676,-1.6762198,-0.29374045,-1.4999365,1.3807001,0.75818604,-1.0639293,0.26126757,-1.421352,0.89883006,-0.87595236,1.5907959,0.57618725,1.6967152,0.3313391,0.49511153,-1.2333269,-0.79748446,-0.18376973,-1.0132375,-0.2881828,0.8379689,0.52088004,-0.6924942,-0.8226463,0.24247792,0.6541709,0.29797664,1.2923024,-1.189745,1.091109,0.83039093,0.7363882,-1.4194126,0.3238395,0.49074632,-1.1324797,-1.8953178,0.9396053,-1.27062,0.047944747,-0.0873296,2
3,-1.248721,0.19299069,1.2495754,2.8035653,1.1415316,-0.7695586,-1.0030775,-0.6410532,0.2149923,0.83301544,1.7639266,0.6139076,-0.60530007,-1.240349,-0.26677892,0.87564147,0.9272846,-0.11121046,0.28732976,0.07227699,0.861909,1.516648,-0.37076864,1.9828181,-1.3533139,-2.1215005,-0.8152413,-0.5114776,0.059653323,1.5463707,2.568297,-2.1551435,-0.0042094365,-0.9209184,1.1289419,0.79883486,1.1947975,-1.9454995,-0.23955236,-1.390788,1.4092039,-0.33306143,-0.8649053,-0.17724116,1.6172905,0.33352998,0.440695,-1.5419859,-0.26098606,-1.1212316,-0.53281945,-1.0277565,2.0935028,-0.7493637,1.5252986,-0.45092136,0.4394235,1.3073585,0.3637255,-1.0045546,-0.5536454,-0.0653278,0.09673681,0.9163756,1.3553529,1.261878,1.6083932,-1.105401,-1.0951548,-0.57545614,0.49595237,1.3581163,-0.8852639,-0.54393196,1.2584004,0.58356196,0.24280727,1.3293723,-0.9682886,1.3640176,-0.25160754,-0.10208945,1.7874866,1.8481101,0.811762,1.0656505,1.1942028,1.221682,-0.8808075,-0.097505756,0.8204963,0.0061827265,-1.9070679,-0.24687015,-0.68103796,-0.29148474,-0.80463517,1.0537151,0.7807494,-0.2738268,2
4,0.7255318,-1.753092,1.1411903,0.47675893,1.0292406,0.6604459,-1.0444403,-0.8344104,0.4912463,0.6735924,-0.28417298,-1.9303094,0.41684896,-0.44824123,-1.3607036,-0.3285045,-2.097612,0.1442901,-0.99647284,-0.80175954,0.09307536,0.9067308,-0.9376426,1.8511449,0.37346473,-0.1651875,0.604406,-1.4847823,1.3615265,1.327197,-1.1180207,-1.6914752,-1.7437857,0.46208867,-1.4799349,1.2509674,1.1745224,-0.9201021,0.4293182,-0.4431438,-0.12523237,-0.73954403,0.7207608,0.2618284,1.3036021,1.0475365,-1.4232802,-1.6306701,-0.09746417,1.1000198,-0.54851764,-0.088464946,-0.1511803,0.046283413,0.21923162,-0.9664219,0.3611384,-0.09071724,-0.078305595,-0.10601553,-0.8923135,-1.030923,0.7127417,1.2849671,-1.2012688,0.7926608,-0.3293191,-0.21599005,-0.4864045,1.2464992,1.5277525,1.6094971,0.28222898,1.3337415,-0.24903387,0.31060526,-1.3936733,-0.20557457,0.30067694,0.87297314,-0.55902225,0.1706798,-0.008438428,1.4037135,0.05251952,-0.5716455,-0.41065988,-1.1679015,0.0949536,0.37126565,1.7356809,0.12621213,0.4524843,0.9591746,-0.9065988,1.1163089,1.9311765,-1.4205786,0.7829717,1.4803305,2
5,-0.74777985,0.159892,0.12820578,0.96037996,1.6386518,1.8799417,0.27998084,0.51170605,1.0906947,0.6288103,2.2780273,-0.39510256,-1.785857,-0.2520977,-1.0490482,-0.1802018,-1.3073062,-0.30184233,-0.52558404,-0.15688452,0.61585635,0.6539685,-0.30931705,1.4676943,-0.8980405,0.28879994,0.47850752,-1.7029172,-0.90633607,1.1469268,0.75024295,-0.49883562,-1.6247358,-0.15086833,-0.70372003,1.3784399,0.03460993,0.05290189,0.79236466,0.028415713,1.7763871,0.39993647,-0.20606714,-1.8098046,0.07369502,-0.0016597025,-0.6399289,-3.570057,0.20631163,-0.9013533,-0.8816918,-0.64156073,1.0711304,-1.5908712,-0.17546055,0.726999,-0.673761,0.042374287,-0.042183887,-0.39212143,-0.4540843,0.022273757,0.15322581,-0.93823403,-0.12449141,-0.47611833,0.013843523,0.295696,-0.42764962,-0.12812419,2.1369033,0.97303873,1.4820201,0.26048422,-0.7493455,1.0194303,-1.3104566,-1.826992,0.7540561,-0.1424872,0.0053232787,-0.710426,1.4253632,0.49167427,-0.58158135,2.522013,-0.28825888,-1.4520514,1.1265979,0.108822905,0.5765083,-0.06719495,-0.9000198,0.11986844,-1.0268967,-0.6321823,-1.1758018,-0.7435876,-0.6517633,0.421431,2
6,-0.6136327,-0.91835546,0.07383766,1.8576218,0.21106154,0.7177063,-0.7971055,-2.1082327,0.7863432,1.0304129,0.65694743,-1.7253484,0.033574507,1.6865875,-0.62698394,-1.5857633,-0.6892133,0.13728352,0.4075775,-0.9255815,-0.4044325,-0.444237,0.5003668,1.0002773,-0.43832365,-2.429877,-0.1546831,0.48392913,1.0913905,0.75575656,0.17935497,0.0827402,0.12790838,0.5633747,-1.36213,-0.39559534,-0.54062206,-0.09666169,-0.44461024,-1.4909168,-0.43795693,-0.28588387,0.4264509,-0.23391838,0.8485519,0.73348266,-0.9956764,-0.93069524,0.38987553,-0.55956787,0.30594483,0.8993414,1.301311,0.66818404,-0.34418908,0.08122768,-0.09816648,1.1585943,-2.039124,1.339801,-0.08046082,-0.22768354,-1.0941936,-0.6731576,0.14374486,1.0898142,-0.15722035,1.0391377,-0.53405124,0.055763982,0.5542907,0.38743404,-1.2021428,1.3267443,0.23282287,-0.03591921,-0.7374184,0.9862928,0.13073638,0.70684755,-0.20715435,-0.5531586,0.20365801,1.3267832,0.2529589,-1.0768042,2.160605,-0.08518396,1.0742817,-0.61658186,0.03297922,0.5560558,-0.6448007,0.4842431,-1.8243821,1.2668021,-0.17688441,0.4025577,-0.6541874,0.5642543,2
7,-0.35049033,-0.29744256,-0.86326796,1.5537326,-0.7428627,-1.1575463,-0.64902204,-1.0960702,0.7280573,-0.42311674,1.7691876,0.5711885,-0.99549496,-0.74497455,-1.8014938,-0.096253335,-0.60861987,0.59460336,-0.2983005,0.74396247,1.5815412,-0.053069852,0.2841564,-2.3844864,-1.3454267,-0.79910564,0.42077464,0.71806955,0.33539897,1.6417463,-0.5272584,-0.7858565,1.3272675,1.474968,0.22466351,0.81704426,0.30899858,-0.35137635,0.61134726,1.8657418,1.4289305,0.75134945,-1.7864553,-0.3677,1.4085886,1.2405206,-1.0635669,-1.4183286,-0.5987592,-0.33135664,0.397152,-2.055156,2.29852,0.2511954,1.1606536,-0.12307305,0.7582629,1.1626788,-0.10240125,1.4000486,1.380443,-0.37064058,1.2443388,-1.8750958,-0.2231117,0.103853196,1.2080144,0.9062984,0.18753162,-0.060323723,1.2034909,-0.1624332,-0.19225086,-0.9894351,-0.601312,-1.7453994,1.3787159,-0.1157698,0.66355926,-0.4852963,-1.239398,-0.22266284,0.2701349,0.1835897,-0.06923486,1.0163746,0.51023704,-0.11496101,0.2971634,-0.19213626,0.6158234,2.0133872,-0.7371809,1.1950212,0.061980747,-0.17689154,0.646209,1.5433059,-1.3093948,0.4837083,2
8,-0.17831081,-0.94018006,1.685735,0.339446,0.6970715,0.03913383,-0.45105118,-1.9064298,-1.2870073,1.1323924,0.012699095,-1.2285793,-0.18209226,0.10609677,0.08582019,-0.100007206,0.19471844,0.23236354,-0.3207692,-1.1625336,-0.50347,0.16572297,-1.0113859,1.6849096,0.009078858,0.55790275,1.0947112,-0.9563397,0.4929286,1.3962604,-0.80512357,-1.644955,0.36247486,0.9310277,-0.5613331,0.656982,0.9632206,-0.52321476,-0.32076952,-0.24066842,1.3732122,0.2973515,-0.6694785,0.11859386,0.45663393,-1.1813816,-0.52019715,-2.5342999,-1.3278776,1.9625503,0.5902981,-0.28745252,1.4290051,-0.42388982,-0.14600109,-0.6691158,1.4410353,0.2236131,-1.1141423,-0.13862774,-0.6003634,0.7254181,0.6679852,-0.65048933,0.2655666,-0.31391266,-0.9617006,0.9515272,1.0315295,0.95939654,0.39488205,0.5022321,-0.6384337,-0.13367689,0.13517258,-0.18744525,-0.023585465,-0.9628387,-0.7844807,0.81939965,-1.0335242,1.0711669,0.09449957,0.65961677,0.88833565,0.02249361,1.4427623,-0.59626555,0.63712144,-1.2916675,1.350153,1.1526232,0.57783574,-1.6093175,-0.73597896,-0.4633873,0.43543237,0.023509607,-0.16727303,-0.36886868,2
9,-1.3001682,-0.8951912,-0.0039603785,0.9250193,-0.13813236,-0.07180583,0.61354584,0.49598035,-1.3871442,-0.20923097,1.0581726,-0.6004741,-0.5330182,-0.042526767,-1.079481,1.3142177,-0.46678895,-0.37233815,0.2037808,1.2854322,1.1186148,-0.949905,0.049404927,0.10346982,-0.3109134,-0.1393135,0.16327251,-0.82030565,0.5284759,1.8975006,-0.38637188,-0.42617914,0.8320961,0.082744196,0.33713034,1.8831614,0.31430465,-0.6896106,0.6492693,-0.17580667,1.4353808,1.5388821,-0.67498326,-0.7532076,-1.0607269,0.33290204,-1.8609693,-1.0573398,-0.9575217,2.01491,0.5393507,-0.36967963,1.0691564,-1.041152,-0.17227076,0.6660483,-1.4935343,0.9382156,-0.31396767,0.101342574,0.98454833,-0.26572505,0.4460365,-1.1063572,-0.9181608,0.80085427,-1.5160507,0.31132326,-0.4477651,0.30872583,2.10056,0.7747206,0.45506725,-1.6112206,1.0078402,0.10067243,-0.48297384,-0.9231743,1.0055155,-0.32782358,-1.4446387,-0.6463036,0.7027905,1.7033354,0.19087286,-0.09584999,0.05076225,-0.5624819,0.6398783,-0.45146435,0.003725499,1.7703842,-0.582987,1.7527289,0.13351503,-0.3095137,-0.45991915,0.5073817,0.13637474,0.6838126,2
