,kl_scale,elbo_rec,elbo_reg,reg_loss,epoch,cat_acc,reconstruction_loss,mean_deviation,sd_deviation,kl_loss_enc,kl_loss_p,pop_shared_genos,trait_diff,p_reconstruction_loss,0_acc,1_acc,2_acc,3_acc,4_acc,5_acc,6_acc,7_acc,8_acc,9_acc,10_acc,val_kl_scale,val_elbo_rec,val_elbo_reg,val_reg_loss,val_epoch,val_cat_acc,val_reconstruction_loss,val_mean_deviation,val_sd_deviation,val_kl_loss_enc,val_kl_loss_p,val_pop_shared_genos,val_trait_diff,val_p_reconstruction_loss,val_0_acc,val_1_acc,val_2_acc,val_3_acc,val_4_acc,val_5_acc,val_6_acc,val_7_acc,val_8_acc,val_9_acc,val_10_acc,loss
0,0.0,5e-324,5e-324,11.0,10.0,1.0,10.0,5.060515245814e-310,5.0605148210169e-310,6.68665285516323e-310,5.06044081356536e-310,5.06051505872516e-310,5.06043702971115e-310,6.68665285516323e-310,5.0605152291506e-310,5.06044078370423e-310,5.0605152128366e-310,6.68665285516323e-310,5.06044085448304e-310,5.06044080099095e-310,5.06051524745987e-310,6.68665285516323e-310,5.0605152265343e-310,5.06051522428863e-310,5.0605151857947e-310,6.68665285516323e-310,5.0605152395395e-310,5.0605151731709e-310,5.06044076044614e-310,6.68665285516323e-310,5.0605150504774e-310,5.0605149207191e-310,5.0605152075404e-310,6.68665285516323e-310,5.0605152131423e-310,5.06051520913757e-310,5.0604408073458e-310,6.68665285516323e-310,5.0604407597185e-310,5.06051522606327e-310,5.06051508483727e-310,6.68665285516323e-310,5.0604371099785e-310,5.06051525321015e-310,5.0604408470394e-310,6.68665285516323e-310,5.0605149383758e-310,5.06051524463386e-310,5.0604369982391e-310,6.68665285516323e-310,"<reg_vae name=reg_vae, built=True>"
1,10.0,0.6295570135116577,23.156879425048828,23.156879425048828,0.0,0.7187828421592712,0.6295570135116577,7.086306571960449,39.22743225097656,11.206501007080078,15.012592315673828,,,0.7574474215507507,0.03018217720091343,0.767897367477417,0.003157719736918807,0.0003384585725143552,0.019381633028388023,0.7581612467765808,0.0,0.003979586996138096,0.7565413117408752,0.0006843456067144871,0.7690005898475647,1.0,0.6704245805740356,23.797889709472656,23.797889709472656,0.0,0.640647292137146,0.6563710570335388,7.879550457000732,39.71624755859375,0.0,0.0,,,0.6704245805740356,0.02050887420773506,0.6904219388961792,0.0,0.0,0.06576402485370636,0.6662774682044983,0.0,0.0075363111682236195,0.6809112429618835,0.0,0.6808261871337891,"<reg_vae name=reg_vae, built=True>"
2,10.0,0.6771514415740967,24.928403854370117,24.928403854370117,1.0,0.643716037273407,0.6771514415740967,7.771369457244873,42.08544158935547,296.879638671875,292.7471923828125,,,0.6803622245788574,0.01593533530831337,0.6986585855484009,0.001995344180613756,4.835589788854122e-05,0.015469868667423725,0.6685961484909058,0.0,0.004027159884572029,0.6801205277442932,0.00034205574775114655,0.6889714002609253,1.0,0.6618756651878357,23.455272674560547,23.455272674560547,1.0,0.6465193629264832,0.6618350148200989,7.248095989227295,39.662471771240234,0.0,0.0,,,0.6618756651878357,0.023152200505137444,0.7831650972366333,0.0,0.0,0.05984555929899216,0.6703448295593262,0.0,0.007939767092466354,0.6251965761184692,0.0,0.6682718396186829,"<reg_vae name=reg_vae, built=True>"
3,10.0,0.6745661497116089,26.360166549682617,26.360166549682617,2.0,0.6422476768493652,0.6745661497116089,8.021979331970215,44.69832229614258,240.73611450195312,236.75595092773438,,,0.6746951937675476,0.012694436125457287,0.7131600975990295,0.0,0.0,0.012003693729639053,0.6525269150733948,0.0,0.003230639500543475,0.6656172871589661,0.00017105713777709752,0.7025439739227295,1.0,0.6621676087379456,24.625,24.625,2.0,0.6471184492111206,0.6620598435401917,7.234236717224121,42.01578140258789,0.0,0.0,,,0.6621676087379456,0.01586080715060234,0.7282939553260803,0.0,0.0,0.06761107593774796,0.6927322149276733,0.0,0.007945205084979534,0.6400418877601624,0.0,0.6855039000511169,"<reg_vae name=reg_vae, built=True>"
4,10.0,0.674415647983551,28.234466552734375,28.234466552734375,3.0,0.6426117420196533,0.674415647983551,8.825333595275879,47.6435661315918,1221.7471923828125,1212.8013916015625,,,0.6744230389595032,0.013032933697104454,0.7184877991676331,0.001828457461670041,0.0,0.014312095940113068,0.6661239862442017,0.0,0.0030450669582933187,0.6336623430252075,0.00017102787387557328,0.7170935869216919,1.0,0.6619391441345215,25.388599395751953,25.388599395751953,3.0,0.6462326645851135,0.6618356704711914,7.545316696166992,43.23188781738281,0.0,0.0,,,0.6619391441345215,0.019313931465148926,0.6237342953681946,0.0,0.0,0.028332259505987167,0.6411574482917786,0.0,0.007939767092466354,0.7352712154388428,0.0,0.7441649436950684,"<reg_vae name=reg_vae, built=True>"
5,10.0,0.6740816235542297,29.718950271606445,29.718950271606445,4.0,0.6432574391365051,0.6740816235542297,8.886489868164062,50.551429748535156,894.5421142578125,882.791015625,,,0.6741013526916504,0.013145973905920982,0.7049829363822937,0.00016616815992165357,0.0,0.007846757769584656,0.667098343372345,0.0,0.003371733706444502,0.6500420570373535,0.0,0.7147252559661865,1.0,0.6618088483810425,24.009113311767578,24.009113311767578,4.0,0.6457620859146118,0.6618037819862366,7.302855968475342,40.71539306640625,0.0,0.0,,,0.6618088483810425,0.015413184650242329,0.7603651881217957,0.0,0.0,0.06769826263189316,0.5881304144859314,0.0,0.007947382517158985,0.6241863369941711,0.0,0.7840898036956787,"<reg_vae name=reg_vae, built=True>"
6,10.0,0.6738039255142212,30.594009399414062,30.594009399414062,5.0,0.6434689164161682,0.6738039255142212,8.569854736328125,52.61812210083008,503.7562255859375,498.11663818359375,,,0.6738407611846924,0.013146557845175266,0.7066442370414734,0.0,0.0,0.0069252075627446175,0.665585994720459,0.0,0.003418723354116082,0.6505778431892395,0.00017108640167862177,0.715187668800354,1.0,0.661652147769928,24.048355102539062,24.048355102539062,5.0,0.6463417410850525,0.6616780161857605,7.089619159698486,41.00710678100586,0.0,0.0,,,0.661652147769928,0.011534178629517555,0.7373163104057312,0.0,0.0,0.028332259505987167,0.6757473945617676,0.0,0.007944117300212383,0.6427069902420044,0.0,0.6906946301460266,"<reg_vae name=reg_vae, built=True>"
7,10.0,0.6736700534820557,31.23764991760254,31.23764991760254,6.0,0.6440122723579407,0.6736700534820557,7.96228551864624,54.513031005859375,315.79541015625,312.199462890625,,,0.6736924648284912,0.012651368044316769,0.7106391787528992,0.0,0.0,0.008312168531119823,0.6720113754272461,0.0,0.0030442113056778908,0.6503245830535889,0.0,0.7067720890045166,1.0,0.6618512272834778,23.56732940673828,23.56732940673828,6.0,0.646364152431488,0.6617394089698792,7.189410209655762,39.945220947265625,0.0,0.0,,,0.6618512272834778,0.014039278030395508,0.7174906730651855,0.0,0.0,0.028387097641825676,0.668904185295105,0.0,0.007944117300212383,0.6787357926368713,0.0,0.679843008518219,"<reg_vae name=reg_vae, built=True>"
8,10.0,0.6734974384307861,34.56306076049805,34.56306076049805,7.0,0.6445700526237488,0.6734974384307861,8.888648986816406,60.237545013427734,205.71546936035156,203.4942169189453,,,0.6735038161277771,0.011653831228613853,0.698301374912262,0.0,0.0,0.008539118804037571,0.672424852848053,0.0,0.0029031652957201004,0.6642922163009644,0.00017108640167862177,0.7061960697174072,1.0,0.6618366241455078,22.96790313720703,22.96790313720703,7.0,0.6473467350006104,0.6618501543998718,7.263025760650635,38.672813415527344,0.0,0.0,,,0.6618366241455078,0.011539991945028305,0.789268434047699,0.0,0.0,0.06756756454706192,0.6791096329689026,0.0,0.007810358889400959,0.591499924659729,0.0,0.6931838989257812,"<reg_vae name=reg_vae, built=True>"
9,10.0,0.6733748316764832,32.11915969848633,32.11915969848633,8.0,0.6446399092674255,0.6733748316764832,7.803404808044434,56.434818267822266,112.62773895263672,111.44501495361328,,,0.6733824610710144,0.012349627912044525,0.7022847533226013,0.0,0.0,0.01223453413695097,0.6734484434127808,0.0,0.0033729972783476114,0.6587438583374023,0.0,0.707129716873169,1.0,0.6613432168960571,25.4437198638916,25.4437198638916,8.0,0.646354079246521,0.6613255739212036,7.06410551071167,43.82332992553711,0.0,0.0,,,0.6613432168960571,0.025762801989912987,0.6973659992218018,0.0,0.0,0.06761107593774796,0.6866583824157715,0.0,0.007937594316899776,0.6836893558502197,0.0,0.6722301244735718,"<reg_vae name=reg_vae, built=True>"
