,kl_loss,kl_scale,elbo_rec,elbo_reg,reg_loss,epoch,cat_acc,reconstruction_loss,mean_deviation,sd_deviation,0_acc,1_acc,2_acc,3_acc,4_acc,5_acc,6_acc,7_acc,8_acc,9_acc,10_acc,val_kl_loss,val_kl_scale,val_elbo_rec,val_elbo_reg,val_reg_loss,val_epoch,val_cat_acc,val_reconstruction_loss,val_mean_deviation,val_sd_deviation,val_0_acc,val_1_acc,val_2_acc,val_3_acc,val_4_acc,val_5_acc,val_6_acc,val_7_acc,val_8_acc,val_9_acc,val_10_acc,loss
0,0.0,0.0,,4.65025977889913e-310,4.6502597789007e-310,4.65025977889597e-310,4.65025977890545e-310,1.1355910924e-313,4.65025935808183e-310,4.65025981911617e-310,4.6502593480467e-310,1.13559085487e-313,4.65025935828143e-310,4.650259812274e-310,4.65026066323454e-310,1.1355908399e-313,6.94571030842067e-310,6.94571030842067e-310,6.94571030842147e-310,6.94571030842147e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842226e-310,6.94571030842305e-310,1.1355910827e-313,6.94571030842147e-310,6.94571030842305e-310,1.13559109246e-313,6.9457103084191e-310,"<reg_vae name=reg_vae, built=False>"
1,1.8372408151626587,0.10000000894069672,1.6347222328186035,363.5259704589844,363.34222412109375,0.0,0.6036219000816345,1.4509979486465454,430.000244140625,296.6842346191406,0.030614065006375313,0.6443521976470947,0.005986867472529411,0.0037800688296556473,0.011518885381519794,0.6438774466514587,0.0026980971451848745,0.004238424822688103,0.6247709393501282,0.005915992893278599,0.6448655724525452,506.4593811035156,0.10000000149011612,53.68545150756836,4300.2255859375,4249.57958984375,0.0,0.3894161880016327,3.0395145416259766,6452.04833984375,2047.1109619140625,0.06982304155826569,0.3823714256286621,0.02112962119281292,0.04356568306684494,0.060177918523550034,0.5017816424369812,0.01377657987177372,0.045032087713479996,0.39799338579177856,0.03032928891479969,0.34698474407196045,"<reg_vae name=reg_vae, built=False>"
2,0.1971571445465088,0.10000000894069672,1.247692584991455,59.09550476074219,59.07578659057617,1.0,0.6236642003059387,1.227976679801941,68.26197052001953,49.88960647583008,0.01820722408592701,0.6677265763282776,0.0011481055989861488,0.0005166179034858942,0.00944669358432293,0.6651237607002258,0.0001412030542269349,0.0009669101564213634,0.6462339758872986,0.0013864131178706884,0.6668585538864136,572.411865234375,0.10000000149011612,60.41071701049805,2067.54296875,2010.3017578125,1.0,0.5017781853675842,3.1695337295532227,2724.091064453125,1296.5123291015625,0.04556786268949509,0.4706045687198639,0.0633888691663742,0.017314566299319267,0.04552590101957321,0.7549043893814087,0.008385743945837021,0.012060190550982952,0.4977124333381653,0.013431542553007603,0.37277495861053467,"<reg_vae name=reg_vae, built=False>"
3,0.12268511205911636,0.10000000894069672,1.066685676574707,31.96422576904297,31.95195770263672,2.0,0.6436043977737427,1.0544170141220093,31.931243896484375,31.97266960144043,0.01188571471720934,0.695017397403717,0.00210244650952518,0.0001709401694824919,0.0018646776443347335,0.6828833818435669,0.0002821670495904982,0.0002136752154910937,0.6657227277755737,0.0,0.6896262168884277,291.97003173828125,0.10000000149011612,31.879314422607422,1485.2872314453125,1456.09033203125,2.0,0.5090157389640808,2.682307481765747,1552.171630859375,1360.0093994140625,0.04376966878771782,0.4179415702819824,0.11377488821744919,0.003351206425577402,0.0575614869594574,0.71925950050354,0.007187780924141407,0.00929409172385931,0.6551010608673096,0.007365684490650892,0.3320567309856415,"<reg_vae name=reg_vae, built=False>"
4,0.14969275891780853,0.10000000894069672,0.9361075162887573,21.579811096191406,21.56484031677246,3.0,0.6677111387252808,0.921138346195221,18.556480407714844,24.573200225830078,0.010077535174787045,0.7221764326095581,0.0030792916659265757,0.0,0.000267165363766253,0.7070555686950684,0.00014206563355401158,0.00021566830400843173,0.6922688484191895,0.0,0.7138149738311768,130.55996704101562,0.10000000149011612,15.323214530944824,1169.7706298828125,1156.7147216796875,3.0,0.4892604947090149,2.2672197818756104,1303.909912109375,1009.5194091796875,0.059115614742040634,0.4043741822242737,0.11336854845285416,0.008824843913316727,0.03401360660791397,0.6322185397148132,0.007187780924141407,0.01615401729941368,0.6503512859344482,0.0060658580623567104,0.35834255814552307,"<reg_vae name=reg_vae, built=False>"
5,0.1923382729291916,0.10000000894069672,0.8475827574729919,17.75600814819336,17.736774444580078,4.0,0.6901186108589172,0.8283489346504211,13.150971412658691,22.32257652282715,0.013921844772994518,0.7461339831352234,0.001908761216327548,0.0007424752693623304,0.0,0.7307338118553162,0.0005655309068970382,0.0005363080417737365,0.7166104316711426,0.00039666797965765,0.7357631921768188,61.68266677856445,0.10000000149011612,8.280263900756836,792.8632202148438,786.6949462890625,4.0,0.4567714333534241,2.1119959354400635,913.9880981445312,659.4017944335938,0.07368507236242294,0.3590639531612396,0.11540024727582932,0.020442359149456024,0.03976975381374359,0.5796067118644714,0.0011979634873569012,0.022571364417672157,0.6139990091323853,0.0021663778461515903,0.3536025285720825,"<reg_vae name=reg_vae, built=False>"
6,0.22538131475448608,0.10000000894069672,0.7909157872200012,16.561960220336914,16.53942108154297,5.0,0.7072031497955322,0.7683776617050171,12.485631942749023,20.593210220336914,0.020987769588828087,0.7629253268241882,0.002293139696121216,0.0010812041582539678,0.0010635469807311893,0.7481766939163208,0.0026931255124509335,0.0018810125766322017,0.737301230430603,0.0007866273517720401,0.7529235482215881,32.93041229248047,0.10000000149011612,5.2066330909729,523.4993896484375,520.2063598632812,5.0,0.45857715606689453,1.9135918617248535,597.47998046875,442.9326477050781,0.09307695180177689,0.40676844120025635,0.0885818749666214,0.021447721868753433,0.03976975381374359,0.4682891070842743,0.0017969452310353518,0.03197610005736351,0.5813941359519958,0.008665511384606361,0.47085198760032654,"<reg_vae name=reg_vae, built=False>"
7,0.2491283416748047,0.10000000894069672,0.7538360953330994,15.130765914916992,15.105852127075195,6.0,0.7201519012451172,0.7289233803749084,11.115568161010742,19.09613800048828,0.02672594226896763,0.7736002802848816,0.005361930467188358,0.0011926396982744336,0.002945113694295287,0.7632808685302734,0.002978723496198654,0.003395128296688199,0.7518792748451233,0.0013703993754461408,0.7657921314239502,18.86338996887207,0.10000000149011612,3.558689594268799,399.4505615234375,397.5642395019531,6.0,0.49083852767944336,1.6723507642745972,434.6701965332031,360.458251953125,0.09148310124874115,0.4194440543651581,0.09386428445577621,0.011952635832130909,0.0287807434797287,0.5078515410423279,0.0017969452310353518,0.04259791970252991,0.6564590334892273,0.0,0.4780024588108063,"<reg_vae name=reg_vae, built=False>"
8,0.2755333483219147,0.10000000894069672,0.725299596786499,14.747502326965332,14.719950675964355,7.0,0.7324073910713196,0.697746217250824,10.407797813415527,19.032102584838867,0.03078145533800125,0.7858700752258301,0.013359148055315018,0.0009735983330756426,0.0061827958561480045,0.7764136791229248,0.003828158136457205,0.004201680887490511,0.7644402384757996,0.0023947316221892834,0.7787350416183472,12.11682415008545,0.10000000149011612,2.6259331703186035,376.3694763183594,375.1578369140625,7.0,0.5311020016670227,1.4142507314682007,404.4000244140625,345.91558837890625,0.07499285042285919,0.500164806842804,0.08370581269264221,0.015638964250683784,0.023547880351543427,0.5860037803649902,0.0014974543591961265,0.029763221740722656,0.61412513256073,0.000433275563409552,0.5360928177833557,"<reg_vae name=reg_vae, built=False>"
9,0.2986791133880615,0.10000000894069672,0.7049232125282288,14.025376319885254,13.99550724029541,8.0,0.741912841796875,0.6750553250312805,9.190638542175293,18.80037498474121,0.03449252247810364,0.7952491044998169,0.01606198027729988,0.001352874911390245,0.008452191948890686,0.7860413789749146,0.004786035977303982,0.004588135052472353,0.7760728001594543,0.0017633228562772274,0.7884283661842346,8.374662399291992,0.10000000149011612,2.1939778327941895,302.5918273925781,301.75439453125,8.0,0.5409535765647888,1.3565115928649902,296.65765380859375,306.8511047363281,0.05276063457131386,0.48985567688941956,0.06907761096954346,0.009830205701291561,0.03453689068555832,0.6006682515144348,0.0011979634873569012,0.03109094873070717,0.632011890411377,0.000433275563409552,0.558161199092865,"<reg_vae name=reg_vae, built=False>"
