p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,pop,p1_id,p2_id
0.4705233,0.31868666,0.47594875,0.23398226,2.066291,4.3143244,1,1,2
0.46800756,0.26653227,0.48013484,0.27662742,1.7367518,4.9690266,1,1,2
0.4521238,0.15765102,0.48468623,0.272264,1.0738165,5.6077557,1,1,2
0.4515309,0.28388718,0.49238682,0.44181168,1.5087863,3.4915352,1,1,2
0.460227,0.25099632,0.49047595,0.38481784,1.9966162,3.8678,1,1,2
0.4536524,0.14342715,0.49090067,0.2262246,1.6613048,5.5820675,1,1,2
0.47504815,0.18344839,0.48848647,0.42105553,1.9719462,4.130416,1,1,2
0.46945822,0.31524646,0.49955794,0.3940202,1.4282627,2.9067569,1,1,2
0.5035892,0.40068036,0.48253146,0.41609043,0.5309746,2.3709028,1,1,2
0.48623222,0.28197032,0.45117384,0.4025159,1.6384153,3.7186818,1,1,2
0.467485,0.28484395,0.4647729,0.3382922,3.4546132,3.681365,1,1,2
0.44099933,0.08615345,0.5186457,0.09251171,2.503345,7.425689,1,1,2
0.4967793,0.36705828,0.45111635,0.45449466,2.440181,2.410369,1,1,2
0.44265908,0.34372544,0.48137698,0.38252774,2.8293233,2.7704363,1,1,2
0.4753861,0.35811225,0.49567202,0.3880653,1.536555,2.8459878,1,1,2
0.45214647,0.342435,0.48713267,0.3926428,1.673347,3.548686,1,1,2
0.45801997,0.38417253,0.4597809,0.35061735,2.820132,3.7864494,1,1,2
0.4367822,0.37400988,0.5149063,0.34093115,1.760438,2.982978,1,1,2
0.47241,0.29202583,0.46086335,0.43431064,1.9386796,3.2115514,1,1,2
0.49311,0.4668555,0.45801443,0.3566177,1.8504996,2.1431494,1,1,2
0.46783748,0.5604184,0.45793054,0.35940036,1.9184952,1.129277,1,1,2
0.51090544,-0.0818771,0.4494697,0.18287644,1.864182,8.109226,1,1,2
0.4634539,0.19617751,0.4751723,0.45992857,2.3336601,3.7471094,1,1,2
0.4618816,0.37680855,0.48760712,0.3803833,2.8056843,2.8337355,1,1,2
0.44420797,0.23490968,0.48697302,0.3198163,2.5613134,4.480153,1,1,2
0.46253285,0.20676278,0.472847,0.15023498,2.8869648,5.9147377,1,1,2
0.47981808,0.2079622,0.47171438,0.12067443,1.1636168,6.6072764,1,1,2
0.47366312,0.44980872,0.4892095,0.17719293,2.1833,3.5065777,1,1,2
0.44365686,0.40810594,0.5091918,0.42110747,2.1799219,1.9674428,1,1,2
0.49760735,0.29709688,0.45803198,0.21852997,1.4754918,5.2165527,1,1,2
0.49078864,0.35976902,0.47903788,0.41375166,2.2991056,2.8726215,1,1,2
0.49962267,0.23787948,0.47125825,0.056377828,2.254002,5.508438,1,1,2
0.5035862,0.2595484,0.46130434,0.3775525,1.278281,3.6226487,1,1,2
0.50825274,0.45684293,0.4399715,0.34651482,2.1718867,2.2018528,1,1,2
0.43409368,0.27031642,0.5171117,0.3611534,2.2799106,3.633182,1,1,2
0.4921487,0.08547545,0.48337,0.2855476,1.3991172,5.7538347,1,1,2
0.5136938,0.48391554,0.43078148,0.4833919,1.6795398,1.5575805,1,1,2
0.511438,0.29222316,0.4226163,0.3342078,0.95064855,3.971951,1,1,2
0.4938736,0.2425794,0.47084093,0.28505492,1.7108701,4.357153,1,1,2
0.51961464,0.4327174,0.45675105,0.41921648,1.2827449,1.6572357,1,1,2
0.45930597,0.18231782,0.48229343,0.35704172,3.3341532,4.8024683,1,1,2
0.50399643,0.39338523,0.47945198,0.28059807,1.0214305,3.5365238,1,1,2
0.49483097,0.33753526,0.46153605,0.33612138,1.4697055,3.3525677,1,1,2
0.45773602,0.3188608,0.49480382,0.29368547,2.7112143,3.9728856,1,1,2
0.47785562,0.26035243,0.4824461,0.5470429,1.793731,2.3638337,1,1,2
0.46113607,0.3821134,0.48278025,0.4169868,1.952544,2.9005997,1,1,2
0.49599376,0.2958719,0.47102627,0.28419918,0.82554215,4.392353,1,1,2
0.48853606,0.25815707,0.4728613,0.26744217,1.941876,4.6280212,1,1,2
0.46042508,0.4332956,0.47879565,0.34570584,1.563366,2.6573186,1,1,2
0.48725453,0.5034606,0.4529446,0.47961977,2.0767426,1.2781396,1,1,2
0.49271828,0.071301326,0.4362809,0.32415935,1.3872644,5.997634,1,1,2
0.49439687,0.4553078,0.45128942,0.44065905,1.7976553,1.4700973,1,1,2
0.46679866,0.29130787,0.47457486,0.37594908,2.0683148,3.3978865,1,1,2
0.4758757,0.28850985,0.46843213,0.37784106,1.0812672,3.8066025,1,1,2
0.47334474,0.53485847,0.47059658,0.3924977,2.0797539,1.4535525,1,1,2
0.48409325,0.40537623,0.44163364,0.37280688,2.6237626,2.1986449,1,1,2
0.46022925,0.3789519,0.48264402,0.2525413,2.1835086,3.936983,1,1,2
0.46056113,0.24154651,0.4879959,0.41812897,1.9625617,4.159288,1,1,2
0.46911922,0.36789975,0.4722632,0.40982795,2.5911632,2.6849966,1,1,2
0.46873114,0.24226499,0.46367112,0.28103343,1.6692362,4.470132,1,1,2
0.4574697,0.2983458,0.49656194,0.12454778,3.3416333,5.5455265,1,1,2
0.47878534,0.34518936,0.4561311,0.44090578,2.4781861,2.9055984,1,1,2
0.48417,0.2415787,0.45909452,0.16933967,1.9682235,5.4300103,1,1,2
0.47130072,0.2546085,0.47140786,0.21657673,1.7628549,5.1514206,1,1,2
0.47423142,0.3672556,0.45784494,0.3446876,2.2535853,2.9967432,1,1,2
0.46028742,0.26529783,0.48793662,0.3029752,2.067874,4.105562,1,1,2
0.48126128,0.30215478,0.4780113,0.41025794,1.4757754,3.4474878,1,1,2
0.5142857,0.30245602,0.43894738,0.36057568,1.9923177,3.5323105,1,1,2
0.46786755,0.4312071,0.48262003,0.50969213,1.8798344,1.8680933,1,1,2
0.46945512,0.25694835,0.49077338,0.45227677,3.1290216,3.0436835,1,1,2
0.47726318,0.26628637,0.4857874,0.198255,1.8364145,5.4972496,1,1,2
0.5016328,0.3865236,0.45618054,0.5097811,0.46183676,1.8188894,1,1,2
0.46906725,0.14101937,0.48788577,0.17765996,2.1114407,6.0108986,1,1,2
0.48543134,0.13160539,0.47075942,0.25798845,1.3679545,6.1680226,1,1,2
0.4358064,0.3429897,0.4748444,0.350684,3.0745842,3.8060994,1,1,2
0.42692715,0.30702776,0.5345708,0.41447482,2.231317,2.972874,1,1,2
0.46238443,0.29403052,0.48169163,0.28686595,2.2960844,4.1288147,1,1,2
0.46306428,0.04757701,0.4536768,0.015292972,2.8780246,8.502108,1,1,2
0.47355002,0.21286346,0.49544024,0.3309002,0.9325464,4.8472705,1,1,2
0.40735888,0.16349551,0.5355533,0.10013011,3.0635138,6.5685434,1,1,2
0.4728966,0.30865362,0.48874104,0.2926789,2.7867446,4.1422954,1,1,2
0.49139088,0.2796682,0.45548612,0.3983016,2.0412488,3.5465584,1,1,2
0.50162005,0.30553338,0.45293278,0.38665053,0.4845915,3.3839056,1,1,2
0.46777853,-0.11794831,0.5045581,0.33406407,1.9821634,7.244034,1,1,2
0.48379135,0.29755107,0.4674038,0.3085408,-0.07213274,4.3117404,1,1,2
0.4905836,0.1409635,0.47246155,0.43591493,1.1243211,4.721327,1,1,2
0.4952158,0.49739334,0.4713511,0.4467243,1.4560431,1.2843819,1,1,2
0.50897604,0.2935342,0.46710867,0.35771304,1.7147541,3.9327917,1,1,2
0.48758176,0.23970827,0.45050737,0.32843393,1.8255057,4.379092,1,1,2
0.51375884,0.3761546,0.47120962,0.31677914,0.9702136,3.32695,1,1,2
0.48542076,0.22779375,0.4788943,0.30599946,1.7425385,4.66559,1,1,2
0.39790013,0.033941574,0.53824586,0.39565578,3.463438,5.0757747,1,1,2
0.47754768,0.33116528,0.4701017,0.44671622,2.046454,2.3187838,1,1,2
0.4971539,0.2317507,0.4625507,0.22412992,1.5590398,5.6248994,1,1,2
0.46971095,0.29233876,0.4690932,0.33431727,1.5583427,3.8115897,1,1,2
0.47454393,0.4389337,0.49440408,0.42423192,3.411781,1.6014638,1,1,2
0.4978967,0.29733992,0.4579313,0.24597806,2.5303068,4.5374603,1,1,2
0.4836382,0.33285704,0.48602515,0.36660415,1.1226398,2.2387195,1,1,2
0.4849316,0.38921574,0.45745462,0.24387205,3.6363876,3.3547626,1,1,2
0.47821218,0.204939,0.47213355,0.37492222,0.8404483,4.2604313,1,1,2
0.5022894,0.30992958,0.46606743,0.34574646,0.5656518,3.2238111,1,1,2
0.47036847,0.33347884,0.49466538,0.14030504,2.5001388,4.997801,1,1,2
0.4420032,0.24933116,0.49619937,0.3628971,2.6748166,4.232097,1,1,2
0.48583168,0.13787812,0.47074884,0.3354818,0.9018969,5.5205274,1,1,2
0.4879806,0.33262056,0.4532708,0.31303096,3.8745046,3.6136317,1,1,2
0.5068681,0.49486655,0.42598167,0.37288016,1.6316768,1.8836532,1,1,2
0.46410653,0.5471756,0.49630678,0.24841677,2.1875525,2.4352262,1,1,2
0.47865626,0.2517045,0.47399604,0.28452677,1.5729961,4.4432807,1,1,2
0.4806862,0.45149836,0.50702506,0.37940106,0.4702631,2.8187952,1,1,2
0.40118414,0.47576243,0.521223,0.36049297,3.574614,1.3364369,1,1,2
0.4846198,0.4725378,0.4672472,0.32154435,1.2789842,2.6450632,1,1,2
0.4643918,0.51079154,0.4717098,0.33223403,2.9083052,1.8204474,1,1,2
0.46579894,0.3289227,0.4577697,0.38297716,3.3082619,2.9461055,1,1,2
0.48721784,0.39453143,0.4761555,0.26570728,2.068698,3.1348596,1,1,2
0.49515158,0.2889337,0.46446046,0.2919991,0.9901873,4.3879457,1,1,2
0.4559262,0.434092,0.48656315,0.2131044,2.195335,3.506281,1,1,2
0.46302304,-0.031823143,0.47554296,0.1957064,2.5921888,7.613535,1,1,2
0.4593896,0.3714452,0.50524145,0.46257627,1.4499836,2.2811635,1,1,2
0.49404812,0.21138749,0.46066546,0.27349466,3.2732296,4.888922,1,1,2
0.518297,0.12940079,0.43479803,0.4146489,1.6918244,4.6640377,1,1,2
0.46605358,0.3002078,0.48090383,0.31057715,2.7333965,3.6065047,1,1,2
0.47189644,0.29708946,0.464216,0.3148082,2.2655568,4.218565,1,1,2
0.4692361,0.45683855,0.48863837,0.3495982,2.4361265,2.1459975,1,1,2
0.49069932,0.31672728,0.46985865,0.3833181,1.4161046,3.21111,1,1,2
0.4840904,0.21583559,0.4864336,0.27047014,1.6798131,5.2468243,1,1,2
0.42723545,0.25739324,0.52114135,0.27595758,2.0493634,4.3556542,1,1,2
0.44940448,0.33287218,0.49780682,0.22666854,1.2849364,4.6660376,1,1,2
0.45824516,0.28185046,0.48924148,0.23513982,2.2126315,4.5273705,1,1,2
0.47865042,0.33669394,0.47897235,0.37442774,1.4163132,3.1715004,2,1,3
0.47707826,0.18218407,0.46320692,0.37876952,2.0604692,4.985691,2,1,3
0.51895076,0.35004586,0.46700972,0.18296169,1.6337588,4.4630156,2,1,3
0.4570576,0.35680673,0.4776742,0.36458412,2.4869301,2.739171,2,1,3
0.48122412,0.2900962,0.46515208,0.31205398,1.9336432,4.180636,2,1,3
0.45838472,0.06274003,0.49080467,0.59588605,2.1507168,4.1014576,2,1,3
0.44246948,0.5499448,0.4894575,0.25006148,3.7130857,2.2525582,2,1,3
0.4605226,0.51078826,0.49914476,0.45427966,2.8510184,1.1188359,2,1,3
0.473262,0.4606115,0.51459926,0.40558097,1.5407386,1.8667566,2,1,3
0.51612777,0.27273032,0.43703774,0.33590382,1.5040879,3.89369,2,1,3
0.4757072,0.13559406,0.45446408,0.16338746,2.2120538,6.6508474,2,1,3
0.49499053,-0.070419155,0.45337668,0.4063139,1.6073467,6.5957065,2,1,3
0.52532256,0.5036069,0.439398,0.34273753,2.1082733,1.0644337,2,1,3
0.49247944,0.4541522,0.4475583,0.27158213,3.3832502,2.7776232,2,1,3
0.47814626,0.2602481,0.49670753,0.15409626,0.92826104,5.981369,2,1,3
0.4721929,0.50288856,0.4535675,0.22797582,2.7061896,2.6771164,2,1,3
0.49420857,-0.10226686,0.45277557,0.24644144,2.237302,8.079927,2,1,3
0.4951644,0.19390872,0.4788876,0.37587708,1.3753598,4.203556,2,1,3
0.5260951,0.25624692,0.44293785,0.54297525,0.585451,3.1425512,2,1,3
0.46260983,0.3305712,0.48071948,0.42314026,1.9403374,2.6083925,2,1,3
0.4372061,0.2349661,0.5053805,0.40034774,1.4982481,4.061224,2,1,3
0.500724,0.3423539,0.46712193,0.345287,1.2350005,3.6097288,2,1,3
0.45536232,0.45355314,0.5154128,0.20021945,2.2639751,4.0101695,2,1,3
0.4591695,0.44650322,0.4798933,0.3469249,2.3592787,2.6978984,2,1,3
0.5067388,0.21739227,0.46397105,0.4543355,2.2011178,3.7730598,2,1,3
0.47625986,0.46400595,0.4805443,0.275223,2.852106,2.7637393,2,1,3
0.46296844,0.41344607,0.5008526,0.49500504,3.0914547,2.0760374,2,1,3
0.48514456,0.10112114,0.46190733,0.49372375,2.453068,4.126854,2,1,3
0.45733073,0.24845706,0.46815705,0.4257828,2.1195383,3.7205966,2,1,3
0.47682598,0.13135083,0.47053686,0.38171828,1.8222419,4.765019,2,1,3
0.4911163,0.3191325,0.48330447,0.52460635,1.4866532,1.8596013,2,1,3
0.46206445,0.4309506,0.49294075,0.46319526,1.7509643,1.7381833,2,1,3
0.4904682,0.080038056,0.47721303,0.39767718,1.3589597,4.540237,2,1,3
0.49119645,0.36324954,0.45471323,0.36087123,1.5364978,3.1957574,2,1,3
0.4841677,0.4932714,0.47934946,0.31808096,2.7192695,2.6078572,2,1,3
0.4673607,0.47535655,0.46827024,0.40064883,2.281031,1.7359351,2,1,3
0.47493836,0.37386525,0.4824502,0.34547693,1.2627529,3.3608847,2,1,3
0.42209992,0.53067225,0.49945346,0.13290375,4.014415,3.281519,2,1,3
0.44986856,0.35656166,0.47864887,0.21666563,2.9774177,4.1530104,2,1,3
0.47795314,0.23806234,0.49860528,0.36090448,1.5547361,3.9282455,2,1,3
0.48352414,0.63856393,0.4511589,0.28364998,4.050699,1.512803,2,1,3
0.50058985,0.63061184,0.47599742,0.2790122,2.221487,1.7832956,2,1,3
0.4873839,0.20335478,0.48921478,0.13215879,1.7062764,6.310689,2,1,3
0.5171114,0.28923482,0.45965207,0.2397502,0.45832843,5.975381,2,1,3
0.4713349,0.3534218,0.49159586,0.40458718,0.58697224,2.884684,2,1,3
0.47805628,0.5104872,0.495168,0.22097966,1.7707765,2.9156246,2,1,3
0.49488872,0.2861859,0.44554985,0.3132435,1.8928633,3.585659,2,1,3
0.46147582,0.26442522,0.46467984,0.41948178,1.426071,2.8597572,2,1,3
0.4864157,0.23149836,0.476914,0.23745216,1.6919143,4.986081,2,1,3
0.48260918,-0.08445665,0.45936975,0.28611577,1.76998,7.7141066,2,1,3
0.4518914,0.047519043,0.48470128,0.10935125,2.2463334,8.244942,2,1,3
0.4907487,0.3976356,0.4630472,0.45504287,0.4080243,2.1799355,2,1,3
0.47558445,0.33204937,0.48377365,0.34600672,2.196681,3.5655565,2,1,3
0.47652417,0.35471377,0.4787829,0.35217792,1.1092014,3.284877,2,1,3
0.48745775,0.44339538,0.45968175,0.42985272,2.6296036,1.1261288,2,1,3
0.4677166,0.22904384,0.49100894,0.051712364,3.2063222,6.229681,2,1,3
0.48154655,0.488391,0.46377882,0.41823006,1.8644276,1.3382106,2,1,3
0.4304504,0.08114066,0.5032505,0.30015796,2.1132102,5.78735,2,1,3
0.45185325,0.22016713,0.50675535,0.34410113,1.9631523,4.4636493,2,1,3
0.4908802,0.34454167,0.46975446,0.28825083,1.6541202,3.9826016,2,1,3
0.4837881,0.08908561,0.45803347,-0.035670042,1.767705,8.810293,2,1,3
0.4490411,0.41083956,0.49185088,0.47943282,1.5104917,1.667632,2,1,3
0.47215325,0.44831502,0.46300653,0.27168512,2.234315,3.291564,2,1,3
0.46021515,0.43469012,0.49162045,0.31153885,3.107364,2.4362884,2,1,3
0.473783,0.32084626,0.46388865,0.3286979,1.647786,3.7948837,2,1,3
0.5055353,0.22847086,0.48188657,0.29033265,1.7460812,5.2628765,2,1,3
0.47039348,0.3466765,0.4633942,0.4454232,2.6557713,2.503599,2,1,3
0.47446147,0.44001755,0.47855797,0.33740407,3.1851726,2.6394675,2,1,3
0.46147743,0.020954661,0.5155972,0.4590839,1.843499,5.0219393,2,1,3
0.45884287,0.23213947,0.4761663,0.30527347,2.435419,4.54374,2,1,3
0.47766823,0.323658,0.4847085,0.41767332,2.9604127,2.8129416,2,1,3
0.48679966,0.2522034,0.49255857,0.4454876,1.5009207,3.3124995,2,1,3
0.4658468,0.3392276,0.49102226,0.2717806,3.071082,4.141911,2,1,3
0.43058118,0.57324874,0.520705,0.27179176,4.084892,1.8039384,2,1,3
0.48835093,0.23383257,0.48520106,0.45319375,2.2538357,2.9003086,2,1,3
0.47052866,0.25348848,0.4940923,0.3363492,0.9304332,4.550769,2,1,3
0.43531796,0.40330976,0.5298402,0.40985924,2.303436,1.9401606,2,1,3
0.517728,0.23345375,0.45733863,0.49547035,1.554585,2.5358405,2,1,3
0.4891795,0.38123035,0.47906306,0.35372496,0.6791762,3.2130768,2,1,3
0.44181767,0.5828508,0.48785892,0.48114863,2.9129815,0.54002124,2,1,3
0.4190226,-0.052665256,0.5172715,0.35615793,3.1563988,6.6417203,2,1,3
0.46359113,0.3946408,0.50623083,0.29432034,1.602751,3.1672769,2,1,3
0.48488942,0.46724752,0.48227763,0.0338998,3.4154434,4.5356903,2,1,3
0.441143,0.38858715,0.48436838,0.44791147,2.4555902,1.911408,2,1,3
0.47199556,0.34641656,0.47865012,0.24008955,3.0594862,4.0526133,2,1,3
0.49549273,0.20752767,0.45909283,0.42903006,1.9316022,3.6916652,2,1,3
0.42935023,0.48947763,0.51447284,0.29880708,2.368626,2.749961,2,1,3
0.48229834,0.08169693,0.47306213,0.07061821,1.2472312,7.682692,2,1,3
0.50682074,0.2719247,0.45753738,0.56937784,1.0657482,2.3416872,2,1,3
0.46590105,0.07128904,0.48371506,0.2265873,1.7581635,6.472819,2,1,3
0.45648026,0.29803103,0.4724838,0.49875364,2.3932154,2.5412815,2,1,3
0.4567532,0.41598237,0.502112,0.32750633,1.7959981,2.8226008,2,1,3
0.4935481,0.36836156,0.48442852,0.17293993,0.7167891,5.4782114,2,1,3
0.4887328,0.2873289,0.45982844,0.34398758,1.51524,4.1678424,2,1,3
0.43845755,0.5272243,0.5042713,0.2923573,2.4037204,2.0471747,2,1,3
0.46719667,0.3693386,0.48355186,0.2999561,2.4907613,3.198573,2,1,3
0.44623858,0.16770649,0.47967076,0.4296375,2.0703976,4.364403,2,1,3
0.4668043,0.29711702,0.47702613,0.3649842,2.2245712,3.674047,2,1,3
0.46802637,0.26196653,0.5036493,0.30625015,1.5772071,4.1557765,2,1,3
