p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,data_type
0.47969216,0.4613399,0.47514397,0.3304002,2.3930097,1.9697068,test_pred
0.47323015,0.33049873,0.49313593,0.3419876,1.4394338,3.0794415,test_pred
0.47527912,0.36636716,0.46448588,0.23305956,2.8003333,3.866993,test_pred
0.45268112,0.24099874,0.477568,0.34539175,1.9184803,4.081709,test_pred
0.4633556,0.45778218,0.46708167,0.37667674,2.105866,1.8870566,test_pred
0.47320893,0.49838117,0.47033387,0.426432,2.3014019,1.08942,test_pred
0.4823324,0.25026056,0.48361138,0.3820448,2.3108068,4.10717,test_pred
0.47730896,0.36504018,0.47755396,0.29104015,2.0395207,3.5386872,test_pred
0.42463806,0.3834887,0.5130332,0.33816957,2.7591999,2.7963185,test_pred
0.46247166,0.009271979,0.4881161,0.06724557,2.216395,8.628889,test_pred
0.51125854,0.27882794,0.46039173,0.30766386,1.5354083,4.0728555,test_pred
0.4651277,0.4246739,0.4852901,0.3160981,2.129905,2.3946192,test_pred
0.44204873,0.2548551,0.48205635,0.21916492,2.788738,5.134935,test_pred
0.46819657,0.14344586,0.5128413,0.48449713,1.1992772,4.206056,test_pred
0.46941587,0.35209584,0.49918613,0.46191183,1.8063302,2.3080454,test_pred
0.47194037,0.38169423,0.49753323,0.34216547,0.70806706,3.0744603,test_pred
0.45153517,0.3683294,0.49139962,0.42064106,2.296668,2.3377662,test_pred
0.44216254,0.4093086,0.48278975,0.37938127,2.472426,2.6197448,test_pred
0.49852127,-0.12881762,0.47702107,-0.18441132,3.0238147,11.943636,test_pred
0.4509133,0.31609857,0.49884742,0.19020917,2.5277064,4.9449215,test_pred
0.47645646,0.42141512,0.4690933,0.45408583,2.2463923,1.6206304,test_pred
0.47390842,0.26590145,0.45682642,0.37597224,2.7083902,3.2309299,test_pred
0.43681172,0.41410547,0.51789564,0.20000562,2.0429616,3.9727533,test_pred
0.4749922,0.15390863,0.51077765,0.39610884,1.4422673,4.3137183,test_pred
0.47921485,0.48193225,0.45264173,0.41639224,2.239656,1.2113825,test_pred
0.4506441,0.18965112,0.4812794,0.21097557,3.0519712,5.364822,test_pred
0.48514342,0.23299235,0.45264482,0.3977937,2.274632,3.728806,test_pred
0.49264312,0.408086,0.46867746,0.38697147,1.8402619,2.2223566,test_pred
0.4628825,0.44469902,0.46498308,0.36935118,1.7303252,1.8363086,test_pred
0.42211184,0.45420858,0.5181912,0.5479248,2.6667838,1.0122397,test_pred
0.4384016,0.122493014,0.501293,0.09925148,2.2402914,7.149399,test_pred
0.46781635,0.28903595,0.473256,0.2775078,2.00294,4.0867033,test_pred
0.4514318,0.4260704,0.48246697,0.36695126,2.5028877,2.782885,test_pred
0.4565735,0.11432901,0.49859485,0.45568871,1.6816659,4.6008177,test_pred
0.48118234,0.35826108,0.47371265,0.3270741,1.4380386,3.5673864,test_pred
0.4772344,0.2963771,0.49288478,0.2838302,0.84120226,4.6447887,test_pred
0.5007918,0.2637268,0.48599824,0.24755426,0.8706245,5.242312,test_pred
0.50197566,0.3499357,0.44852725,0.36600268,2.1883893,3.1047857,test_pred
0.4492459,0.32856697,0.49578965,0.27275646,1.6697242,4.1045547,test_pred
0.48260087,-0.03169381,0.4686802,0.2768319,1.347512,7.5955486,test_pred
0.47302252,0.30393788,0.48762232,0.4189814,1.6167207,3.1520758,test_pred
0.49472287,0.15280822,0.47816804,0.18962042,1.1758581,6.3715334,test_pred
0.43988484,0.4679751,0.485081,0.1988838,2.8035502,3.165799,test_pred
0.47765765,0.22068806,0.4777718,0.45226893,2.322011,3.7667515,test_pred
0.45536372,0.4414317,0.49274248,0.48442286,2.5198278,1.4963317,test_pred
0.47567505,0.30602443,0.46626818,0.3290789,2.0049748,3.368465,test_pred
0.5163939,0.13275033,0.46110108,0.33564058,0.54558516,5.4551783,test_pred
0.4529429,0.29559797,0.502867,0.2945839,1.2765578,4.04216,test_pred
0.45380786,0.20314333,0.48582163,0.39800388,2.3503034,4.1224065,test_pred
0.5048568,0.5337055,0.4411993,0.27964547,3.1505988,2.5216565,test_pred
0.4596974,0.17390841,0.4907521,0.4419174,0.93195325,4.2149525,test_pred
0.43123,0.2858899,0.49269244,0.49702004,2.6667948,2.7250967,test_pred
0.4764321,0.100333236,0.459969,0.36108357,1.3158197,5.5359483,test_pred
0.48819095,0.5193295,0.4693669,0.39256296,1.838708,1.3996416,test_pred
0.47628853,0.514851,0.4705318,0.36058468,2.9309998,1.7179646,test_pred
0.45613155,0.14122294,0.4840909,0.42647913,1.2266186,4.482927,test_pred
0.4759458,0.18802547,0.48281467,0.31173795,1.0427859,5.0532846,test_pred
0.4456291,-0.20978096,0.49418128,0.23868887,1.6337055,9.171389,test_pred
0.47645822,0.27194798,0.461223,0.31459188,2.6786525,4.124797,test_pred
0.45802915,0.35844156,0.49707565,0.25552076,1.9593185,3.7379131,test_pred
0.4632686,0.36650568,0.48997238,0.3147966,1.999644,3.383965,test_pred
0.4993142,0.30281952,0.47232708,0.3201449,0.42653504,4.269368,test_pred
0.47066933,0.22871616,0.47203732,0.28697497,1.5948205,4.927125,test_pred
0.45716262,0.17649293,0.49068862,0.2102577,1.7778697,5.9269633,test_pred
0.40556246,0.007033527,0.54191285,0.15480188,3.4290519,7.616333,test_pred
0.45251548,0.39460176,0.50628316,0.123361714,1.1145062,5.474802,test_pred
0.497923,0.030173525,0.45106414,0.21539174,1.4338129,7.0299854,test_pred
0.47974765,0.35264605,0.45450035,0.3812326,1.8200085,2.6985116,test_pred
0.49446338,0.32518172,0.4469454,0.33921462,1.0433207,3.5770388,test_pred
0.44781795,0.06364331,0.49974936,0.068382055,2.061913,7.8549314,test_pred
0.47060615,0.314003,0.47813812,0.23644264,2.0512621,4.4238443,test_pred
0.47985408,0.38037884,0.47313476,0.4898844,0.80141467,1.8572068,test_pred
0.45684394,0.33496517,0.524294,0.5224377,1.5748689,1.9660547,test_pred
0.49528766,0.27477908,0.4755352,0.2150844,1.827554,4.4592695,test_pred
0.45930392,0.41876307,0.4804708,0.22137058,2.7394986,3.8076162,test_pred
0.45167214,0.35025147,0.47258785,0.47101304,3.104453,2.0074072,test_pred
0.39991835,0.28755462,0.5272403,0.46335548,2.9123847,2.9676533,test_pred
0.46235174,0.24795863,0.4767248,0.32519263,2.0415213,4.3461185,test_pred
0.47169852,0.14213511,0.48160046,0.19846183,2.208428,6.4831247,test_pred
0.49663085,0.33202857,0.43677747,0.39658043,2.3759902,2.789176,test_pred
0.43028322,0.35780078,0.51419,0.31626415,3.8063834,3.2507033,test_pred
0.48675206,0.3286686,0.47661728,0.3937697,2.1252694,3.0435777,test_pred
0.43422958,0.2541445,0.4791222,0.21097562,3.0225756,5.1785603,test_pred
