pop,individual,p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,p1_id,p2_id
1,66,0.43338782,0.3532042,0.56722367,0.37579674,0.83654934,3.0992699,1.0,2.0
1,67,0.5282162,0.41348118,0.4352006,0.29671097,0.7571102,3.0993664,1.0,2.0
1,68,0.5552324,0.4859895,0.4220047,0.26640183,0.75582504,3.1031067,1.0,2.0
1,69,0.4646814,0.47945368,0.5361309,0.39041674,0.79571074,2.558907,1.0,2.0
1,70,0.4304047,0.40868273,0.56677145,0.35431412,0.54401153,3.3370194,1.0,2.0
1,71,0.5035256,0.41291294,0.49359864,0.3626982,0.6134144,2.058184,1.0,2.0
1,72,0.46837914,0.28672677,0.51693517,0.47703585,0.92587686,2.7064505,1.0,2.0
1,73,0.4688499,0.2822253,0.5212231,0.62707317,0.9337424,1.8809785,1.0,2.0
1,74,0.51249003,0.32594663,0.48204845,0.4434494,0.6079196,2.769527,1.0,2.0
1,75,0.49561334,0.5750548,0.5255731,0.28018498,0.3602004,1.988015,1.0,2.0
1,76,0.5000259,0.54243547,0.4757718,0.25395063,1.0728086,3.105519,1.0,2.0
1,77,0.5352744,0.38259843,0.4472434,0.5314523,0.5689706,2.0374396,1.0,2.0
1,78,0.47199202,0.38014975,0.5202307,0.44458213,0.29955176,2.5636873,1.0,2.0
1,79,0.5079715,0.57401586,0.48135296,0.2520536,0.37385017,2.2156363,1.0,2.0
1,80,0.5120327,0.24119738,0.48002195,0.42824414,0.52155703,3.4343648,1.0,2.0
1,81,0.5038805,0.39774284,0.479475,0.3418669,0.67219996,3.4555688,1.0,2.0
1,82,0.42717707,0.32118735,0.58148664,0.45392996,0.7872539,2.855323,1.0,2.0
1,83,0.48113316,0.32511348,0.4913686,0.42670998,0.6981367,2.5047174,1.0,2.0
1,84,0.4987352,0.50405425,0.51497114,0.24585646,0.64322764,3.0506787,1.0,2.0
1,85,0.47922432,0.4525698,0.52412033,0.3519954,0.8687069,2.2894897,1.0,2.0
1,86,0.47127908,0.24982916,0.5245448,0.48123586,0.42436755,2.562958,1.0,2.0
1,87,0.5203196,0.5283022,0.4858658,0.21201071,0.742671,2.3266344,1.0,2.0
1,88,0.49552238,0.19022395,0.5081507,0.4240065,1.0771855,4.2374454,1.0,2.0
1,89,0.45121533,0.5360193,0.53467506,0.23841882,1.7471277,3.1020503,1.0,2.0
1,90,0.47194678,0.45691207,0.51788616,0.18752651,0.8200595,3.699636,1.0,2.0
1,91,0.47474504,0.21693856,0.52973366,0.56856745,0.57909966,2.3039076,1.0,2.0
1,92,0.5047635,0.2699444,0.48277792,0.5675046,0.75258595,2.830516,1.0,2.0
1,93,0.49318823,0.2276178,0.51445764,0.3427789,1.3482993,3.8855524,1.0,2.0
1,94,0.49327895,0.40920883,0.48254982,0.29453677,0.91665226,3.3890924,1.0,2.0
1,95,0.4365083,0.21892196,0.50865906,0.45000464,1.1612524,3.4432843,1.0,2.0
1,96,0.42689106,0.25438237,0.57939,0.4062837,0.68151444,3.4298017,1.0,2.0
1,97,0.5567488,0.3371977,0.40421763,0.505911,0.37440014,3.169766,1.0,2.0
1,98,0.48569965,0.68359804,0.48468512,0.09277517,0.9795987,2.8385115,1.0,2.0
1,99,0.46799394,0.14759625,0.5272615,0.552117,0.5215827,3.6764412,1.0,2.0
1,100,0.45298666,0.6547778,0.54230285,0.04937452,1.253403,2.7376661,1.0,2.0
1,101,0.43465772,0.36616778,0.5387198,0.383446,0.35639128,2.8483307,1.0,2.0
1,102,0.52133167,0.5240973,0.4719855,0.24801189,0.5480339,2.3866086,1.0,2.0
1,103,0.5728778,0.45026803,0.4487491,0.35953337,0.59874326,3.2949474,1.0,2.0
1,104,0.51916194,0.3595024,0.4766332,0.36917853,0.4285009,3.1625352,1.0,2.0
1,105,0.49366364,0.21040396,0.5112889,0.7284394,0.57853466,2.0621989,1.0,2.0
1,106,0.44927,0.29833144,0.551482,0.49562758,0.92067945,2.800774,1.0,2.0
1,107,0.45784217,0.49600208,0.5236465,0.22119005,0.7331613,2.9736311,1.0,2.0
1,108,0.46050486,0.50238997,0.51572883,0.33260182,0.7396728,2.5551937,1.0,2.0
1,109,0.48365247,0.4409602,0.51313055,0.29546455,0.2742102,2.3356552,1.0,2.0
1,110,0.4949373,0.48688516,0.5105001,0.296139,0.5229447,2.2727919,1.0,2.0
1,111,0.53549284,0.4233928,0.46078026,0.258449,0.73435444,3.2238867,1.0,2.0
1,112,0.4888671,0.5612262,0.49248856,0.15241706,0.591549,2.9119556,1.0,2.0
1,113,0.5393508,0.43321073,0.46387964,0.45449117,0.8355654,2.5259342,1.0,2.0
1,114,0.53304106,0.18555796,0.41912752,0.46582755,0.92957455,3.7958093,1.0,2.0
1,115,0.49808437,0.49903625,0.47978923,0.31599283,0.42336595,2.2880738,1.0,2.0
1,116,0.46283147,0.19765267,0.5207152,0.54087394,0.8598128,3.479783,1.0,2.0
1,117,0.46733975,0.43173146,0.5231028,0.26759097,1.4023606,4.4818983,1.0,2.0
1,118,0.46837354,0.34132916,0.5449673,0.48692796,0.82738364,1.9626658,1.0,2.0
1,119,0.53700066,0.36003122,0.4611864,0.47519153,1.2192972,2.9698486,1.0,2.0
1,120,0.5045508,0.56674916,0.48983365,0.2845256,1.4075708,2.7154543,1.0,2.0
1,121,0.4492392,0.6140349,0.5390842,0.19339842,0.71364295,2.644082,1.0,2.0
1,122,0.49964425,0.27085307,0.504808,0.48980638,1.2839905,3.0098956,1.0,2.0
1,123,0.5142884,0.4966918,0.45734003,0.32954973,0.8604579,2.2482014,1.0,2.0
1,124,0.4699058,0.3584319,0.5256058,0.43593222,1.1622684,2.7895,1.0,2.0
1,125,0.45108116,0.1954657,0.5432845,0.45364422,1.111811,3.9425268,1.0,2.0
1,126,0.5674065,0.33771032,0.42294997,0.25361076,1.055035,4.228973,1.0,2.0
1,127,0.51205313,0.5188318,0.47093442,0.22456726,0.7301718,2.4908247,1.0,2.0
1,128,0.49723965,0.29384118,0.48007655,0.4634238,0.7396613,3.3823137,1.0,2.0
1,129,0.48631614,0.49833623,0.485543,0.34359124,0.5334941,2.5101476,1.0,2.0
1,130,0.5535107,0.34904203,0.44944346,0.44164705,1.1391065,2.889462,1.0,2.0
1,131,0.4500463,0.4073143,0.5285254,0.24858713,0.4843716,3.1733685,1.0,2.0
1,132,0.48219997,0.54106843,0.5182831,0.29384205,1.0837841,2.8616323,1.0,2.0
1,133,0.46436754,0.4078801,0.530044,0.3127691,0.63683605,3.8200414,1.0,2.0
1,134,0.47017634,0.36330482,0.51907367,0.40376088,0.06029524,2.8683932,1.0,2.0
1,135,0.49182004,0.22654925,0.512325,0.61087567,1.0004548,2.909635,1.0,2.0
1,136,0.5463549,0.37815782,0.46183002,0.36091185,0.7343889,3.2300837,1.0,2.0
1,137,0.431118,0.23737742,0.5560723,0.4835281,0.7812374,3.149425,1.0,2.0
1,138,0.5310607,0.19021817,0.46859008,0.45976797,0.59349835,3.6493828,1.0,2.0
1,139,0.49252132,0.5966002,0.5470434,0.2754516,-0.031109862,2.186449,1.0,2.0
1,140,0.48237926,0.26089415,0.5091291,0.34958255,1.0804764,4.096461,1.0,2.0
1,141,0.5749405,0.4606907,0.4290704,0.4576873,0.27581826,2.3777301,1.0,2.0
1,143,0.5253646,0.5343947,0.4480276,0.37222445,0.62667096,1.7706327,1.0,2.0
1,144,0.46035504,0.5477586,0.5368502,0.16401567,0.28650135,2.7177103,1.0,2.0
1,145,0.51503074,0.1870791,0.46573722,0.47063527,0.8665635,3.1693203,1.0,2.0
1,146,0.43457508,0.3822921,0.5650276,0.42015654,0.13116348,2.2163322,1.0,2.0
1,147,0.45692474,0.42553052,0.50250727,0.2738292,0.93812096,3.5351205,1.0,2.0
1,148,0.4686011,0.44766167,0.5322185,0.22830361,0.76683617,2.9721208,1.0,2.0
1,149,0.5273676,0.45455953,0.42020035,0.25053677,0.50216377,2.9164462,1.0,2.0
1,150,0.49697244,0.4175831,0.51204926,0.29317224,0.49844927,2.9077175,1.0,2.0
1,151,0.47925228,0.44747284,0.50964063,0.39104956,0.6658639,3.0572731,1.0,2.0
1,152,0.5088555,0.3329148,0.52057964,0.45074704,1.0066844,3.4821596,1.0,2.0
1,153,0.49716628,0.3392546,0.47940594,0.37792963,0.6673009,3.155481,1.0,2.0
1,154,0.49677956,0.39303905,0.49654,0.3663834,0.41735682,2.555913,1.0,2.0
1,156,0.51984024,0.28628823,0.47067043,0.3908689,0.32664147,3.1501684,1.0,2.0
1,157,0.46308285,0.6412783,0.5676115,0.06197308,1.2396208,3.3223877,1.0,2.0
1,158,0.52783966,0.2329234,0.49384114,0.6729982,0.6675457,2.078535,1.0,2.0
1,159,0.5002998,0.35660392,0.52963406,0.40953436,1.1954321,3.6768115,1.0,2.0
1,160,0.50844955,0.6063054,0.4820165,0.20318794,0.5364001,2.3509743,1.0,2.0
1,161,0.4423201,0.25676963,0.5323004,0.45681363,1.3339179,3.5233617,1.0,2.0
1,162,0.47384554,0.5143206,0.54647416,0.3102503,0.8514106,2.2441275,1.0,2.0
1,163,0.48002094,0.5222874,0.51336193,0.16933148,1.170047,3.2866306,1.0,2.0
1,164,0.5085992,0.30959433,0.45379922,0.38907614,0.80443966,2.8590136,1.0,2.0
1,165,0.549325,0.6086617,0.46069637,0.16027632,0.59573877,3.2517195,1.0,2.0
1,166,0.58140326,0.34615806,0.42038593,0.399071,0.47868,1.9733332,1.0,2.0
1,167,0.51300716,0.4879049,0.46492723,0.24130069,1.012685,3.0461202,1.0,2.0
1,168,0.4763664,0.5545126,0.51219916,0.20834175,0.32148758,2.7659085,1.0,2.0
1,169,0.44354063,0.43575084,0.5448854,0.1646488,0.5362644,3.8121595,1.0,2.0
1,170,0.5157975,0.47886965,0.4656538,0.2819329,0.3409805,2.738289,1.0,2.0
1,171,0.52916974,0.4399398,0.44907168,0.3409167,0.6320647,2.941635,1.0,2.0
1,172,0.517368,0.66447216,0.48147166,0.20632368,0.3555617,2.4071195,1.0,2.0
1,173,0.4992171,0.4486844,0.44578654,0.35619742,0.5270528,2.4627545,1.0,2.0
1,174,0.5270399,0.3221761,0.45616737,0.38163808,0.2809499,3.1324615,1.0,2.0
1,175,0.4826393,0.49231225,0.5334989,0.3852405,0.5706407,1.9680598,1.0,2.0
1,176,0.48708624,0.40901873,0.47487584,0.31828743,0.7895496,2.864006,1.0,2.0
1,177,0.47013992,0.57525116,0.5383298,0.24241167,0.40702125,2.4908445,1.0,2.0
1,178,0.51733065,0.5928114,0.4607795,0.1897252,0.82936865,2.2603168,1.0,2.0
1,180,0.47638357,0.33993608,0.508376,0.40526128,0.88602126,2.7945042,1.0,2.0
1,181,0.46944678,0.44046196,0.5205872,0.19917361,0.26921242,3.6041322,1.0,2.0
1,182,0.5124266,0.29188424,0.49417785,0.3481783,0.86890346,3.6861427,1.0,2.0
1,183,0.48676068,0.49058294,0.52572936,0.24445474,0.5702082,2.9504185,1.0,2.0
1,184,0.52191705,0.38619828,0.48203883,0.28123966,0.26550797,2.6350148,1.0,2.0
1,185,0.5245749,0.48165876,0.4853031,0.19338696,1.3009189,3.5502796,1.0,2.0
1,186,0.49434805,0.20085095,0.4620726,0.4354124,1.2566434,3.6059558,1.0,2.0
1,187,0.5553003,0.3873437,0.45328912,0.40588626,0.53428,2.4015794,1.0,2.0
1,188,0.5343227,0.3338871,0.44623825,0.4657473,0.4541841,2.6375728,1.0,2.0
1,189,0.5150618,0.50051165,0.42634663,0.25235063,0.79708606,3.0294852,1.0,2.0
1,190,0.44242162,0.32164586,0.56343085,0.40458074,0.239627,2.7725008,1.0,2.0
1,191,0.47337008,0.5990698,0.56319046,0.27428567,0.9179166,2.1806586,1.0,2.0
1,192,0.42942363,0.4330257,0.571529,0.23746127,0.57801384,3.5695975,1.0,2.0
1,193,0.49220803,0.5445421,0.48594156,0.18566664,0.3621077,2.8397715,1.0,2.0
1,194,0.5344084,0.38489318,0.46675467,0.28210405,0.9131015,3.1889958,1.0,2.0
1,195,0.4863963,0.47515222,0.5362019,0.40040442,0.6566435,2.3414874,1.0,2.0
1,196,0.53245044,0.38904354,0.49421996,0.37032217,0.8084396,2.578619,1.0,2.0
1,197,0.49306083,0.36017165,0.4958286,0.38856623,0.823804,2.9397054,1.0,2.0
1,198,0.45372462,0.31429794,0.5170373,0.37810525,0.49095988,3.1812775,1.0,2.0
1,199,0.5430503,0.24060766,0.4335889,0.43721974,1.2968234,3.6680398,1.0,2.0
2,1,0.5441235,0.3706424,0.46717465,0.7024972,0.3799447,2.073167,1.0,3.0
2,2,0.5103406,0.3990462,0.53732145,0.7625694,0.59900874,1.98557,1.0,3.0
2,3,0.5005354,-0.2322227,0.49324986,0.65668565,0.56595397,2.938615,1.0,3.0
2,4,0.5274429,0.4480527,0.47950116,0.5149415,0.67177856,1.273548,1.0,3.0
2,5,0.43903977,0.28669488,0.5144202,0.36539063,0.57993954,3.0979888,1.0,3.0
2,6,0.5938288,0.40762678,0.43717518,0.44497305,0.66463464,2.2135477,1.0,3.0
2,7,0.5130463,0.37507343,0.4503074,0.40981895,0.43155706,3.1376061,1.0,3.0
2,8,0.5012482,0.62896,0.49030563,0.16228372,1.3127015,3.583982,1.0,3.0
2,9,0.51659644,0.5965121,0.54996943,0.40174854,0.670464,1.528391,1.0,3.0
2,10,0.49782538,0.7132493,0.55503505,0.096395284,0.49814096,2.2926488,1.0,3.0
2,11,0.5433867,0.3092212,0.4774931,0.51910347,0.4344892,2.6286662,1.0,3.0
2,12,0.49873936,0.4339043,0.50637496,0.33754054,0.58079374,1.9666712,1.0,3.0
2,13,0.5016658,0.21972017,0.5187071,0.37889498,0.66104996,3.2300253,1.0,3.0
2,14,0.5192761,0.33347252,0.4492898,0.7592212,0.37254116,1.3597819,1.0,3.0
2,15,0.4470913,0.7320119,0.5719199,0.67161167,0.36239102,0.3789882,1.0,3.0
2,16,0.4987157,0.38859653,0.4692681,0.1828608,0.13409728,2.6350338,1.0,3.0
2,17,0.5103539,0.10859314,0.4860817,0.4076808,0.81377226,3.2454262,1.0,3.0
2,18,0.46643457,0.1628517,0.49290583,0.3963289,1.0658852,3.7717984,1.0,3.0
2,19,0.53906196,0.56767917,0.4611939,0.1109941,0.8166214,3.1423008,1.0,3.0
2,20,0.49277622,0.46959677,0.4958623,0.36538172,0.6462555,2.6003904,1.0,3.0
2,21,0.5270402,0.5577342,0.46993905,0.3986484,0.68278927,2.4688685,1.0,3.0
2,22,0.47170174,0.24097635,0.5388723,1.0091832,1.0613393,2.4218757,1.0,3.0
2,23,0.49673593,0.35876858,0.5165788,0.99867517,1.285854,2.8809795,1.0,3.0
2,25,0.52697474,0.38412425,0.45124766,0.34479183,0.8572078,2.402836,1.0,3.0
2,26,0.5249267,0.42619553,0.5183988,-0.031711265,0.5246283,2.5081959,1.0,3.0
2,27,0.5123588,0.382537,0.48502782,0.21294247,0.33783633,2.9538395,1.0,3.0
2,28,0.54987824,0.38709456,0.5106294,0.73342955,0.60645646,1.2293081,1.0,3.0
2,29,0.5279123,0.55785275,0.43645725,0.39530668,0.613953,2.72693,1.0,3.0
2,30,0.5908883,0.46270007,0.43721518,0.7127797,0.68703365,1.4446152,1.0,3.0
2,31,0.5014354,0.22026718,0.4871431,0.33369443,0.26170868,2.1849945,1.0,3.0
2,32,0.4980232,0.43899864,0.48425376,0.4166758,0.61613834,2.2802494,1.0,3.0
2,33,0.5623562,0.21692082,0.48703092,1.3275056,0.17978697,1.4926634,1.0,3.0
2,34,0.5036343,0.05004722,0.5180595,0.46194208,0.38627487,3.4463081,1.0,3.0
2,35,0.53106105,0.25490767,0.4638808,0.46625552,0.6436795,3.3285317,1.0,3.0
2,36,0.5732801,0.548263,0.4418245,0.37756968,0.57125294,2.2908082,1.0,3.0
2,37,0.51884764,0.56406516,0.48763764,0.13992368,0.67890424,2.6386108,1.0,3.0
2,38,0.5025263,0.47661263,0.5514351,0.9285541,0.30793685,1.1119593,1.0,3.0
2,39,0.45990884,0.52085066,0.5270764,0.41115546,0.10213452,1.6043359,1.0,3.0
2,40,0.5260412,0.56689155,0.51811576,0.37968186,0.471043,2.8027341,1.0,3.0
2,41,0.50116956,0.30335805,0.47990718,0.4093378,0.23270798,2.4419067,1.0,3.0
2,42,0.5095431,0.59591687,0.4523869,0.4245791,0.635372,2.058247,1.0,3.0
2,43,0.52957636,0.8310735,0.48501515,0.16948591,0.9599579,2.521775,1.0,3.0
2,44,0.5096404,0.9195968,0.59463865,0.37532902,0.9013667,1.8397799,1.0,3.0
2,45,0.5290358,0.59810656,0.46918285,0.45613235,0.5943746,1.9714501,1.0,3.0
2,46,0.5070866,0.29381505,0.48180658,0.39333686,0.5939696,3.3961716,1.0,3.0
2,47,0.4903376,0.56773704,0.5113199,0.41715908,1.1990843,1.6466112,1.0,3.0
2,48,0.5070568,0.28589803,0.46689042,0.7826978,0.2500978,2.2020853,1.0,3.0
2,49,0.50577605,1.1184287,0.5351372,0.281178,0.6540115,2.5809023,1.0,3.0
2,50,0.5530285,0.4424858,0.45578018,0.5317596,0.1315148,1.5402749,1.0,3.0
2,51,0.53481793,0.4119642,0.4919572,0.39299652,1.5024335,3.1845477,1.0,3.0
2,52,0.5156075,0.21996163,0.47185528,0.32194573,0.4578585,3.1050239,1.0,3.0
2,53,0.53504777,0.41299626,0.49753562,0.37280884,1.3017124,3.229604,1.0,3.0
2,54,0.55224323,0.47041088,0.4742983,0.4250234,0.30604222,2.1984336,1.0,3.0
2,55,0.51743054,0.7345796,0.5679199,0.44577914,0.4863345,1.4108106,1.0,3.0
2,56,0.5334538,0.42913222,0.45848975,0.5195702,0.21314695,1.6549783,1.0,3.0
2,57,0.52059597,0.577429,0.5253499,0.14079289,0.77460253,2.8421583,1.0,3.0
2,58,0.5047793,0.50829124,0.46450952,0.3234222,0.49011248,1.8579237,1.0,3.0
2,59,0.4997998,0.54429716,0.48001227,-0.036844894,0.61386496,1.8833783,1.0,3.0
2,60,0.48042297,0.28649306,0.5316207,0.6390935,0.78500694,3.1228232,1.0,3.0
2,61,0.5267266,0.34658816,0.52636415,0.60758626,0.59083146,2.1966116,1.0,3.0
2,62,0.5013471,0.44044977,0.51428854,0.25316375,0.6523628,2.4709442,1.0,3.0
2,63,0.46394217,0.38444287,0.5229117,0.42571902,0.24685434,2.7354653,1.0,3.0
2,64,0.5111567,0.6527017,0.5342369,0.35705802,0.38862967,1.6101921,1.0,3.0
2,65,0.47028482,0.62039214,0.5497554,0.30402797,1.0808494,3.2176976,1.0,3.0
2,66,0.52484685,0.46386233,0.47690508,0.39476272,0.6680548,2.5449936,1.0,3.0
2,67,0.5028701,0.8250196,0.5122007,0.47334096,0.32707778,0.87288177,1.0,3.0
2,68,0.49528378,0.3648942,0.5131969,0.19905503,1.0576535,3.263819,1.0,3.0
2,69,0.50382286,0.49286833,0.53422385,0.27741942,0.24749927,2.071174,1.0,3.0
2,70,0.5208751,0.7975845,0.502468,-0.023131313,0.85326016,2.3865092,1.0,3.0
2,71,0.55092394,0.49433157,0.4412559,0.4909399,0.67736053,2.9233677,1.0,3.0
2,72,0.4739482,0.49254528,0.52310026,0.27807632,0.45416227,2.0134718,1.0,3.0
2,73,0.49417937,0.24052511,0.55325234,0.54693466,0.39870518,2.534807,1.0,3.0
2,74,0.5690672,0.71357596,0.44066122,-0.32781592,1.2410842,3.6734354,1.0,3.0
2,75,0.57561135,0.5504835,0.48631397,0.38743642,0.32667124,1.898752,1.0,3.0
2,76,0.49288207,0.31304732,0.5105906,0.51508754,0.6048677,2.1552687,1.0,3.0
2,77,0.5104046,0.2349615,0.50534254,0.8013467,1.391364,2.9527218,1.0,3.0
2,78,0.44412148,-0.10909793,0.5608001,0.56086344,0.45134562,3.3130665,1.0,3.0
2,79,0.4929124,0.25658488,0.5457969,0.80252206,0.7247659,1.8244253,1.0,3.0
2,80,0.53436667,0.49693462,0.48886636,0.29360673,0.59400743,2.3333747,1.0,3.0
2,81,0.4787572,0.38457718,0.5281614,0.47420087,0.59647125,1.9581244,1.0,3.0
2,82,0.4847278,0.22815539,0.4777648,0.50191253,0.4357775,1.9358789,1.0,3.0
2,83,0.42554957,0.10595148,0.5289469,0.5599785,0.16987592,2.3430078,1.0,3.0
2,84,0.46741998,0.4347971,0.5412999,0.24529499,0.77724737,3.4126732,1.0,3.0
2,85,0.5388832,0.29644817,0.44963422,0.59591,0.24421519,1.7747506,1.0,3.0
2,86,0.56808245,0.41276065,0.40651104,0.26154953,0.09571719,1.8471931,1.0,3.0
2,87,0.5700665,0.3983001,0.46048445,0.32873884,0.5286826,2.900281,1.0,3.0
2,88,0.51707196,0.31732205,0.5194803,0.28978404,0.18820196,2.474672,1.0,3.0
2,89,0.48828757,0.420384,0.53094625,0.16190727,0.68026114,2.9310365,1.0,3.0
2,90,0.46461678,-0.044850625,0.5197209,0.6194111,0.6840477,2.5662253,1.0,3.0
2,91,0.5552549,0.47491014,0.46825147,0.4410752,0.75236124,2.2484102,1.0,3.0
2,92,0.54868925,0.065110385,0.40171784,0.5420503,0.2361328,2.3907483,1.0,3.0
2,93,0.5268543,0.2857062,0.5140903,0.5231674,0.4513625,2.885295,1.0,3.0
2,94,0.5062366,0.46396008,0.492564,0.31163725,0.5785177,2.5403533,1.0,3.0
2,95,0.4773469,0.3215235,0.48347273,0.48096484,0.8225416,2.9808474,1.0,3.0
2,96,0.54606867,0.55471253,0.5015984,0.5593843,0.7883277,2.4704,1.0,3.0
2,97,0.5202926,0.5687063,0.5241656,0.35648754,0.7073394,2.2242472,1.0,3.0
