pop,individual,indi_count_per_pop_trait,val_mean,val_sd,log_val_mean,exp_val_sd,d_type
24,186,6,71.1666666666667,12.2542509631012,4.26502454400057,209871.55151372653,train
24,187,6,73.8333333333333,10.0879466030836,4.30181030081708,24051.35471572365,train
24,188,6,68.1666666666667,8.61200712184254,4.221955686814748,5497.271305533341,train
24,189,6,72.8333333333333,14.1338836370853,4.2881737258675345,1374889.107975316,eval
24,191,6,67.3333333333333,9.70910225853383,4.209655408733094,16466.812298937573,train
24,192,6,74.3333333333333,12.6912043032435,4.308559482792009,324877.7716178157,eval
24,193,6,68.0,10.507140429251,4.219507705176107,36575.738945454425,train
24,195,6,65.5,7.50333259292163,4.182050142641207,1814.0779351893623,eval
24,196,6,69.8333333333333,8.61200712184254,4.246111450694082,5497.271305533341,train
24,198,6,74.8333333333333,8.54205283679905,4.315263418514199,5125.856114558871,train
24,199,6,67.1666666666667,10.3424690798023,4.207177092718628,31022.53267147242,train
24,200,6,70.0,8.48528137423857,4.248495242049359,4842.959957444093,eval
25,1,6,75.0,8.36660026534076,4.31748811353631,4300.988957441931,test
25,2,6,82.8333333333333,15.471479136355,4.4168305568685735,5238151.025791871,test
25,3,5,85.6,11.9498953970317,4.449685283147696,154800.9530901153,test
25,4,6,78.6666666666667,8.01664934163062,4.3652195163575005,3031.0044391234583,test
25,5,6,76.0,8.34266144584568,4.330733340286331,4199.250961412383,test
25,6,5,78.4,4.15932686861708,4.361823927356363,64.02840855965783,test
25,7,6,79.3333333333333,7.08989891794422,4.373658385003365,1199.7865175934805,test
25,8,6,79.1666666666667,10.6285778289791,4.371555334806587,41298.350099194984,test
25,9,6,78.1666666666667,13.4226177278006,4.358843299218225,675101.0941831439,test
25,10,7,80.1428571428571,9.92351704166373,4.3838107564673825,20404.62850635689,test
25,11,5,81.8,8.87130204648675,4.404277243608702,7124.551433738743,test
25,15,5,81.6,10.6442472725881,4.401829261970061,41950.56887491792,test
25,16,6,81.1666666666667,12.1559313368687,4.396504653854535,190219.00340813538,test
25,17,6,78.1666666666667,7.65288616579828,4.358843299218225,2106.7171584374314,test
