pop,individual,indi_count_per_pop_trait,val_mean,val_sd,log_val_mean,exp_val_sd,d_type
1,1,7,76.7142857142857,8.76953601422344,4.3400879454535515,6435.185936819564,train
1,2,6,78.6666666666667,8.16496580927726,4.3652195163575005,3515.6011340862337,eval
1,3,6,76.0,8.0,4.330733340286331,2980.9579870417283,eval
1,4,7,74.8571428571429,7.22100111777149,4.315581535265729,1367.8577621928446,train
1,5,7,84.2857142857143,9.28644685754973,4.434212387844452,10790.774742233209,train
1,6,6,74.6666666666667,7.96659693135448,4.31303376318693,2883.029503954419,train
1,7,6,75.3333333333333,8.89194391945128,4.321922710604175,7273.143856247874,train
1,8,5,74.0,4.63680924774785,4.30406509320417,103.2144897501983,train
1,9,6,80.0,8.39047078536121,4.382026634673881,4404.89096434453,train
1,10,6,74.1666666666667,9.76558583325479,4.306314812938186,17423.686163168008,train
1,11,7,78.0,9.36304793679209,4.356708826689592,11649.84246741462,train
1,12,6,77.8333333333333,10.7408876107455,4.354569788440842,46207.0475932999,train
1,13,6,78.6666666666667,9.75021367287234,4.3652195163575005,17157.89459425889,train
1,14,6,79.3333333333333,12.11060141639,4.373658385003365,181788.90247852725,train
1,15,6,78.3333333333333,10.2696965226177,4.360973225476049,28845.131992907947,train
1,16,6,81.3333333333333,10.1718565988057,4.398555936625092,26156.594012762325,train
1,17,6,78.1666666666667,9.84716541278081,4.358843299218225,18904.691784008988,eval
1,18,6,76.6666666666667,7.8655366420014,4.3394670202550865,2605.90849013581,train
1,19,6,80.6666666666667,13.7646891235025,4.390325437488577,950448.3727057237,train
1,20,5,77.8,11.7558496077485,4.354141431184346,127497.19046236033,train
1,21,5,73.8,4.60434577328853,4.301358731606427,99.91759270352208,eval
1,22,6,75.8333333333333,8.51860708488581,4.328537949722895,5007.074467440975,eval
1,23,6,74.6666666666667,9.0037029419382,4.31303376318693,8133.144799361989,train
1,24,5,76.6,10.7377837564369,4.338597076746545,46063.84999674101,eval
1,25,5,81.2,12.2759928315391,4.396915247167632,214484.51670236097,train
1,27,5,81.6,11.0136279218067,4.401829261970061,60695.68710010688,train
1,28,5,77.6,9.34344690143846,4.351567427189173,11423.716880906599,train
1,29,6,76.1666666666667,7.41395081361258,4.33292392166615,1658.9676886719806,train
1,30,6,76.3333333333333,10.15217546473,4.33510971488613,25646.835347703018,train
1,31,6,74.8333333333333,5.60059520646392,4.315263418514199,270.5874148834536,train
1,32,7,74.7142857142857,8.13867896148357,4.31367131500961,3424.391126073526,train
1,33,6,77.5,14.2933550994859,4.350277936359301,1612594.772367006,train
1,34,6,80.3333333333333,14.9220195237329,4.386184644822545,3023783.814260775,train
1,36,7,79.1428571428571,10.2376522606271,4.37125453769197,27935.46368947842,train
1,37,6,79.5,7.50333259292163,4.375757021660286,1814.0779351893623,train
1,38,6,77.6666666666667,10.5955965696447,4.352426164897591,39958.4950101546,train
1,39,6,78.3333333333333,16.3299316185545,4.360973225476049,12359451.33398815,eval
1,40,5,76.4,10.1636607578175,4.335982696172475,25943.09482522943,eval
1,41,7,75.2857142857143,8.69318287921223,4.321290399486049,5962.128810247727,eval
1,42,5,75.6,7.23187389270582,4.3254562831854875,1382.8113177918829,eval
1,43,7,76.1428571428571,10.4311803651132,4.332611275110531,33900.341433863316,train
1,44,6,77.0,7.61577310586391,4.343805421853684,2029.9635289986202,train
1,45,6,75.1666666666667,6.04703784233791,4.319707870274624,422.8585992114146,train
1,46,6,80.1666666666667,8.42417157153549,4.384107800877707,4555.869003071399,train
1,47,6,74.3333333333333,7.52772652709081,4.308559482792009,1858.8745949176512,eval
1,48,6,79.5,10.7470926301023,4.375757021660286,46494.6545987621,train
1,49,6,80.5,13.8094170767632,4.388257184424518,993925.0464038608,eval
1,50,5,71.4,7.95612971236643,4.268297869345539,2853.009589385424,eval
1,51,7,77.5714285714286,12.9724983825674,4.351199170878623,430412.092144963,train
1,52,6,78.1666666666667,7.83368793523629,4.358843299218225,2524.221393725023,train
1,53,6,78.5,14.5705181788432,4.363098624788363,2127627.737686902,eval
1,54,7,78.1428571428571,13.0821579696492,4.358538653366668,480296.0529090342,train
1,55,7,75.8571428571429,11.7958830590532,4.328851872186626,132704.8885899001,train
1,56,6,73.6666666666667,7.06163342766153,4.299550412849643,1166.3487569829367,train
1,57,7,74.4285714285714,8.42332362861483,4.3098398926980535,4552.007523591249,train
1,58,5,77.6,12.5618469979538,4.351567427189173,285457.0896844916,eval
1,59,7,79.7142857142857,7.18132498717532,4.378448813325997,1314.6489978243487,train
1,60,7,74.0,7.09459888459759,4.30406509320417,1205.4387464562594,eval
1,61,6,75.1666666666667,12.4324843320499,4.319707870274624,250818.37034544974,eval
1,62,7,76.4285714285714,9.3782930724296,4.336356597840693,11828.806596057302,train
1,63,7,79.7142857142857,9.6904469404028,4.378448813325997,16162.466338762993,train
1,64,6,78.3333333333333,7.17402722790112,4.360973225476049,1305.0899282267037,train
1,65,6,72.6666666666667,10.7269131937695,4.28588277412098,45565.82185599327,eval
1,66,6,77.0,7.53657747256671,4.343805421853684,1875.400419304201,eval
1,67,7,76.2857142857143,13.7078357848627,4.334485689904882,897919.576546884,train
1,68,7,75.0,9.34523051258412,4.31748811353631,11444.110531424956,train
