"","pop","individual","mean_value","sd_value"
"1912",10,127,-0.771748522601338,5.46960196245091
"1913",10,128,1.65682290597009,3.91166363409067
"1914",10,129,2.79968004882723,6.31585008989496
"1915",10,130,1.79968004882723,6.33119472710357
"1916",10,131,0.799680048827233,7.42871974471182
"1917",10,132,-2.64099912119972,6.61107413591313
"1918",10,133,1.51396576311295,6.16782323417676
"1919",10,134,-0.057462808315624,4.05268115569779
"1920",10,135,0.371108620255805,4.02104297760971
"1921",10,136,0.799680048827233,4.04943929890974
"1922",10,137,1.22825147739866,5.37374633095232
"1923",10,138,0.371108620255805,5.56515980925916
"1924",10,139,-2.91460566545848,5.39281496885344
"1925",10,140,-0.34317709402991,4.94794807204245
"1926",10,141,1.55391894219651,4.35128503642393
"1927",10,142,1.65682290597009,5.98042134640378
"1928",10,143,2.05391894219651,4.88730312860747
"1929",10,144,2.44786210244931,5.45213557115426
"1930",10,145,-0.486034236887053,4.78833390894167
"1931",10,146,-0.200319951172767,3.87789251709762
"1932",10,147,0.942537191684376,3.97016374338277
"1933",10,148,-0.771748522601338,7.41149852057827
"1934",10,149,-3.11274772447016,6.36356848277749
"1935",10,150,0.65682290597009,4.91328597028765
"1936",10,151,0.65682290597009,6.10281272630367
"1937",10,152,0.0853943345415189,3.60698918743289
"1938",10,153,-0.802137897550686,4.96142315085108
"1939",10,154,4.79968004882723,6.57491492532439
"1940",10,155,-1.48603423688705,5.58779860235317
"1941",10,156,1.3711086202558,3.70662693350461
"1942",10,157,-2.80213789755069,5.8743717797555
"1943",10,158,1.3711086202558,5.28306804728628
"1944",10,159,3.22825147739866,5.20573317150401
"1945",10,160,-0.802137897550686,4.4613478029471
"1946",10,161,-0.34317709402991,4.02544616908002
"1947",10,162,3.08539433454152,5.27658003543487
"1948",10,163,2.65682290597009,15.3735966973956
"1949",10,164,3.72058560886317,4.84495972771508
"1950",10,165,-1.20031995117277,5.07679247520861
"1951",10,166,0.799680048827233,5.7395073320716
"1952",10,167,0.942537191684376,4.98393197023077
"1953",10,169,-3.05746280831562,5.91627079444906
"1954",10,170,3.44786210244931,3.96339411155227
"1955",10,171,3.22825147739866,5.81110937933562
"1956",10,172,-0.057462808315624,3.23691454682492
"1957",10,173,0.65682290597009,4.15690424114385
"1958",10,174,3.94786210244931,5.96792928412993
"1959",10,175,0.322862102449314,4.72823039442707
"1960",10,176,-1.20031995117277,5.66641813542692
"1961",10,178,3.08539433454152,6.03864933884842
"1962",10,179,0.513965763112948,7.31324199613103
"1963",10,180,-0.802137897550686,4.02588933738958
"1964",10,181,2.3711086202558,4.09929946057228
"1965",10,182,-5.48603423688705,5.65246531290826
"1966",10,184,-0.486034236887053,5.71780557709096
"1967",10,185,-1.6288913797442,5.34501466345666
"1968",10,186,-0.486034236887053,8.04784182206996
"1969",10,187,-2.05213789755069,5.20472465968165
"1970",10,188,2.3711086202558,6.25659234860883
"1971",10,189,-1.05213789755069,4.97951665489518
"1972",10,190,-0.0521378975506863,4.84042356506841
"1973",10,191,4.51396576311295,4.32407598084437
"1974",10,192,0.102103977331126,4.85508903612187
"1975",10,193,0.228251477398662,4.74296537062804
"1976",10,194,-1.05746280831562,3.42499670128388
"1977",10,195,-3.56456268933554,4.76449743364863
"1978",10,196,-0.0521378975506863,3.94634701347151
"1979",10,197,0.799680048827233,5.26622271311914
"1980",10,198,0.371108620255805,4.96335347651636
"1981",10,200,1.3711086202558,4.48400506810629
"1982",11,1,-2.34317709402991,3.72793977172389
"1983",11,2,-1.6288913797442,9.90857496935872
"1984",11,3,-5.05746280831562,4.57640618247358
"1985",11,4,-5.23768302572291,5.38580666928356
"1986",11,5,-2.48603423688705,4.05740163204848
"1987",11,6,-3.91460566545848,3.99972175339889
"1988",11,7,-1.05746280831562,6.69092743738183
"1989",11,8,-3.78995172019445,5.39742913746708
"1990",11,9,-4.05746280831562,3.85292741566955
"1991",11,10,-4.20031995117277,6.17806773984139
"1992",11,11,0.0853943345415189,3.64100965964369
"1993",11,12,-4.91460566545848,4.15681913827322
"1994",11,13,0.65682290597009,2.96677918479304
"1995",11,14,-2.34317709402991,5.80208284600239
"1996",11,15,-5.6288913797442,5.19642349201922
"1997",11,16,-4.48603423688705,5.31901888226646
"1998",11,17,-3.34317709402991,4.17037296533619
"1999",11,18,-4.20031995117277,4.33211290455476
"2000",11,19,-6.05746280831562,4.3917397977431
"2001",11,20,-0.200319951172767,5.63956463750566
"2002",11,21,-6.34317709402991,4.31305216433304
"2003",11,22,-1.11274772447016,5.87906828198455
"2004",11,23,-1.77174852260134,3.35963418652332
"2005",11,24,-3.34317709402991,6.41451823496012
"2006",11,25,-2.91460566545848,6.88557509257094
"2007",11,26,-3.05746280831562,4.41111149458692
"2008",11,27,-4.05746280831562,4.80834798347897
"2009",11,28,-3.20031995117277,4.93408935684315
"2010",11,29,-4.91460566545848,4.27294403461512
