"pop","individual","val_mean_oil","val_mean_protein","val_mean_silk","val_mean_starch","val_mean_tassel","val_sd_oil","val_sd_protein","val_sd_silk","val_sd_starch","val_sd_tassel"
1,2,4.0525,12.1875,78.6666666666667,69.88,78.1666666666667,0.417003197429788,1.5375386174012,8.16496580927726,1.34880193752332,8.01040989379861
1,3,4.152,14.52,76,68.456,75.3333333333333,0.505193032414343,0.757891812859857,8,2.42549582559938,7.73735527597555
1,4,4.54,11.64,74.8571428571429,71.375,73.2857142857143,0.460260795636561,0.871504446345514,7.22100111777149,1.51327129094555,6.9931939701943
1,5,3.71833333333333,12.4316666666667,84.2857142857143,69.12,81.8571428571429,0.254983659607173,0.880304871431862,9.28644685754973,0.898086855487819,9.35287070776617
1,6,3.63833333333333,12.7416666666667,74.6666666666667,69.795,74,0.340259704735466,1.02861881504601,7.96659693135448,1.7483334922148,8.39047078536121
1,7,3.86333333333333,11.55,75.3333333333333,70.5933333333333,73.8333333333333,0.259743463183709,1.20153235495346,8.89194391945128,1.44241002030167,8.54205283679905
1,8,4.29666666666667,11.9616666666667,74,71.4016666666667,76.6666666666667,0.519409921609769,1.84640641968844,4.63680924774785,2.63186182514711,11.9443152447793
1,9,4.5975,13,80,69.1325,76.6666666666667,0.43308005418552,1.06867519231367,8.39047078536121,2.0665651856805,7.6594168620507
1,10,3.85333333333333,14.775,74.1666666666667,68.705,73.8333333333333,0.364673369834797,1.73381371548388,9.76558583325479,1.44087126420094,9.53764471275098
1,11,4.385,12.9783333333333,78,71.2266666666667,75,0.719631850323483,0.663608820516022,9.36304793679209,1.25469783879094,8.06225774829855
1,12,3.8,12.34,77.8333333333333,68.9783333333333,76,0.344267337980239,0.758841221863968,10.7408876107455,1.32673157295162,10.6583300755794
1,13,4.548,12.544,78.6666666666667,69.676,76.6666666666667,0.37271973384837,0.923542094330302,9.75021367287234,0.82221043535095,9.43751379689941
1,14,3.45,14.4133333333333,79.3333333333333,68.57,74.6666666666667,0.499879985596543,1.98856397097671,12.11060141639,2.78695532795199,9.33095207718198
