"pop","individual","indi_count_per_pop_trait","val_mean","val_sd"
2,134,6,80.8333333333333,13.2727791613764
2,135,6,77.1666666666667,11.1609438071637
2,136,7,76.4285714285714,10.6279057651252
2,137,4,77.75,5.1234753829798
2,138,6,76.1666666666667,11.7714343504378
2,139,7,78,10
2,140,6,83.6666666666667,12.7854083496252
2,141,7,79.7142857142857,11.8140352365916
2,142,6,76.3333333333333,6.34560215162176
2,143,6,80.1666666666667,11.7374045967014
2,144,6,82.8333333333333,12.4966662221037
2,145,5,79.6,7.46993975879324
2,146,6,84.1666666666667,16.0176985446308
2,148,5,86.4,18.7429986928453
2,149,6,77.3333333333333,6.86051504383357
2,150,6,78.8333333333333,8.25631071766722
2,151,6,82.3333333333333,11.378341999899
2,152,6,83.1666666666667,13.4523851664553
2,153,6,82.5,14.4879260075416
2,154,6,78.6666666666667,10.1718565988057
2,155,6,84.1666666666667,11.9233664150133
2,156,6,83,15.5306149266537
2,157,6,80.5,11.9791485507109
2,158,6,81.8333333333333,11.0890336218566
2,159,7,79,9.76387901058454
2,160,5,79.6,14.380542409798
2,161,6,78.3333333333333,10.633281086601
2,162,6,77,10.0598210719674
2,163,6,80.5,6.97853852894716
2,164,6,82.5,9.83361581515162
2,165,5,78,6.12372435695795
2,166,6,78.3333333333333,8.77876225140348
2,167,6,78.3333333333333,11.6045967903528
2,168,6,80,10.6018866245589
2,169,6,81.1666666666667,8.44787941833136
2,170,7,78.4285714285714,15.0980919639662
2,171,6,79,9.69535971483266
2,172,6,81.3333333333333,10.8197350552898
2,173,5,80.6,16.1027947884831
2,174,7,76.8571428571429,9.54687682663064
2,175,6,81.5,8.52642949891688
2,176,6,80,11.2071405808975
2,178,6,78.3333333333333,12.1435854123346
2,179,6,79.8333333333333,8.54205283679905
2,180,6,80.1666666666667,12.671490309615
2,181,7,81.1428571428571,11.0518259641951
2,182,6,77.5,10.7656862298694
2,183,7,77.2857142857143,11.32422603263
2,184,6,84.8333333333333,12.9215582135695
2,185,6,80.5,13.7222447143315
2,186,6,79.1666666666667,11.9902738361835
2,187,5,84.6,10.876580344943
2,188,6,79.3333333333333,9.68848113311197
2,189,6,84,10.507140429251
2,190,6,76.3333333333333,6.18600571181976
2,191,6,79.6666666666667,11.3959056975155
2,192,6,75,11.2427754580442
2,193,6,80.6666666666667,11.8771489283694
2,194,7,80.8571428571429,9.31716286267036
2,195,7,81.2857142857143,12.2707550122814
2,196,6,77.1666666666667,8.30461718965219
2,197,7,79.4285714285714,13.562904591288
2,198,6,80,10.4115320678563
2,199,6,78.1666666666667,11.0529030877262
2,200,7,75.8571428571429,7.92524597785607
3,1,5,77.8,7.25947656515261
3,2,6,85,14.3108350559987
3,3,6,83.1666666666667,11.8222953214114
3,4,6,84.3333333333333,12.9717642079505
3,6,5,82.6,9.39680796866681
3,7,6,79,9.83869910099907
3,8,6,84,14
3,9,6,78.1666666666667,8.30461718965219
3,10,6,79.8333333333333,14.2185325074941
3,11,7,80.8571428571429,12.0751614403089
3,12,4,79,8.12403840463596
3,13,4,89.75,9.8784276751583
3,14,6,81.5,10.7098085883922
3,16,6,87.5,10.1734949746879
3,17,6,83.3333333333333,12.706953477001
3,18,6,89,10.5451410611713
3,19,6,80.1666666666667,14.274686219552
3,20,6,85.8333333333333,10.6848802832164
3,21,7,78.8571428571429,10.007140307943
3,22,5,85.2,14.3770650690605
3,23,7,92.4285714285714,17.2709500110942
3,24,5,78.4,7.63544366752843
3,26,5,82.8,10.7098085883922
3,27,6,83.6666666666667,10.6895587685679
3,29,6,83.5,11.9624412224261
3,30,6,95.6666666666667,16.6933120340652
3,31,6,88,12.7593103261893
3,32,6,85,13.1757352736005
3,33,5,80.6,9.83869910099907
3,34,5,87.2,20.644611887851
3,35,5,81.6,13.6857590216984
3,36,6,82.5,11.3622180933126
3,37,5,73.4,12.4217551094843
3,38,7,84.7142857142857,12.2163044836847
3,39,5,82.4,8.96102672688794
3,40,6,81.8333333333333,13.0447946195663
3,42,6,88.6666666666667,17.7049898804452
3,43,6,79,8.92188320927819
3,44,7,85.1428571428571,12.1713950368418
3,45,6,85.3333333333333,18.151216671801
3,46,6,78.8333333333333,14.274686219552
3,47,6,79.3333333333333,8.89194391945128
3,48,6,83.8333333333333,9.21773652621221
3,49,7,83.2857142857143,12.3789375649971
3,50,6,83.3333333333333,12.5645002553491
3,51,5,96.4,19.3468343663763
3,52,6,81,10.295630140987
3,53,6,77.8333333333333,8.37655458208604
3,54,6,89,17.8773599840692
3,55,6,83,10.8811764069884
3,56,5,81.2,10.9178752511649
3,57,6,93,14.4913767461894
3,58,6,84.5,18.5121581669993
3,59,6,90.8333333333333,14.2185325074941
3,61,5,78.8,7.19027120489902
3,62,6,92,16.2972390299707
3,63,5,90.2,17.7679486716953
3,65,6,82.5,13.3078923951165
3,66,5,82.8,12.397580409096
3,67,6,82.8333333333333,12.4646165872307
3,68,6,82.5,11.2205169221387
3,69,5,86.8,12.6964561984831
3,70,7,79.8571428571429,8.41483949992653
3,71,6,83.1666666666667,12.671490309615
3,72,6,85.5,13.751363568752
3,73,6,82.8333333333333,13.7900930622917
3,74,7,83.2857142857143,11.9821295507697
3,75,6,81.8333333333333,8.79583234643923
3,76,5,79.6,7.95612971236643
3,77,7,87.8571428571429,15.4534631655666
3,78,6,86.5,11.3092882180975
3,79,6,81.6666666666667,13.2010100623652
3,80,5,80.2,7.19027120489902
3,81,6,80.1666666666667,6.55489638870567
3,82,7,81.1428571428571,11.7817453634648
3,83,7,91.8571428571429,10.52661027157
3,84,7,79.8571428571429,13.1457036255015
3,85,6,80,11.5412304370028
3,86,6,83.1666666666667,11.754431788337
3,87,6,87.3333333333333,15.9958327906573
3,88,5,79.4,6.94982014155762
3,89,7,86.5714285714286,16.071269840486
3,90,7,82.1428571428571,12.6547563051549
3,91,6,83,11.61034021896
3,92,6,80.1666666666667,7.57407860182786
3,93,6,83.6666666666667,14.2501461980804
3,94,5,82.2,10.4259292151827
3,95,5,92.6,15.2085502267639
3,96,5,87.6,16.6523271646938
3,97,7,88.1428571428571,11.0216237676755
3,98,6,82.3333333333333,9.77070451229934
3,99,6,92.6666666666667,16.848343143071
3,100,7,82.1428571428571,12.2940171279715
3,101,6,85.8333333333333,11.7884123895742
3,102,6,84.1666666666667,12.7971350960544
3,103,5,85.2,12.7161314872095
3,104,7,81,13.4783777461038
3,105,7,84.7142857142857,14.4765820749039
3,106,6,81.1666666666667,10.3037210107158
3,107,6,78.3333333333333,9.54288565721431
3,109,6,86,13.3716117203574
3,110,6,83.6666666666667,10.1324561023804
3,111,6,81.8333333333333,11.2145738513181
3,112,7,80.5714285714286,11.3263283673799
3,113,6,78.3333333333333,11.6218185610801
3,114,6,81.5,10.7098085883922
3,115,6,83.6666666666667,9.5008771524879
3,116,5,88,11.0227038425243
3,117,6,83.6666666666667,12.0940756846758
3,118,6,85.5,12.9267165204471
3,119,5,71.8,7.69415362466854
3,120,5,79.6,7.09224929059886
3,121,6,84.3333333333333,12.8166558300778
3,122,6,85,11.7132403714771
3,123,5,87.6,11.0815161417561
3,124,6,87.6666666666667,15.2665211055652
3,125,7,84.5714285714286,12.7522173608768
3,126,6,87.5,17.7623196683316
3,127,7,83.1428571428571,13.259318376505
3,128,7,76.4285714285714,7.65630770143466
3,129,7,82.5714285714286,10.5964953775158
3,130,6,90.5,14.842506526864
3,131,7,83.2857142857143,12.3789375649971
3,132,6,82.3333333333333,10.4434987751551
3,133,6,79.8333333333333,6.11282804164052
3,134,6,82.1666666666667,11.4090607267499
3,135,5,86.6,9.555103348473
3,136,5,84.6,8.29457654133109
3,137,6,78.5,9.04986187739901
3,138,6,80.3333333333333,9.85224170768596
3,139,6,86,11.6275534829989
3,140,7,83,11.6904519445001
3,141,6,81.1666666666667,13.7755822623462
3,142,7,77.5714285714286,9.21696159004587
3,143,6,89.6666666666667,11.4484351186818
3,144,6,83.5,10.0349389634417
3,145,5,81.4,9.50263121456368
3,146,5,80.8,7.59605160593318
3,147,6,82.5,11.148990985735
3,148,6,84.1666666666667,11.1967257118618
3,149,6,88.1666666666667,13.5855315194757
3,150,5,78.6,7.46993975879324
3,151,6,84,13.7840487520902
3,152,6,80.5,13.487030807409
3,153,4,82.75,6.70198975429437
3,154,6,78.1666666666667,11.8222953214114
3,155,5,78.4,8.61974477580398
3,157,5,94.8,18.4715998224301
3,158,5,84.2,11.1669154201149
3,160,6,80.6666666666667,10.0133244562766
3,161,6,92.6666666666667,14.5556403729505
3,163,6,84.3333333333333,12.4686272968064
3,164,7,79.4285714285714,11.3703876049022
3,166,7,77.5714285714286,12.1086352500621
3,167,5,84.4,12.6412024744484
3,168,6,78.3333333333333,10.0133244562766
3,169,4,87,10.6458129484475
3,171,5,89.2,19.8670581616907
3,172,7,88.1428571428571,11.7958830590532
3,173,6,83,12.837445228705
3,174,5,88.2,12.8918578955867
3,175,6,80,10.6770782520313
3,176,5,82,7.64852927038918
3,177,7,80,13.076696830622
3,178,6,88.1666666666667,19.7930964395838
3,179,6,80.8333333333333,12.5445871461227
3,180,6,86.1666666666667,12.2868493384865
3,181,6,79.5,9.26822528858681
3,182,7,83.4285714285714,11.5304978622946
3,183,6,85.8333333333333,12.3355853799756
3,184,6,84,18.9736659610103
3,185,7,82.5714285714286,12.3673918411434
3,186,6,92.5,16.6222742126341
3,187,7,80,12.8452325786651
3,188,5,83.2,7.46324326281812
3,189,6,75.5,6.18869937870632
