,0_acc,10_acc,1_acc,2_acc,3_acc,4_acc,5_acc,6_acc,7_acc,8_acc,9_acc,cat_acc,climbing,elbo,kl_loss,reconstruction_loss,trainable_vars_tracker,val_0_acc,val_10_acc,val_1_acc,val_2_acc,val_3_acc,val_4_acc,val_5_acc,val_6_acc,val_7_acc,val_8_acc,val_9_acc,val_cat_acc,val_climbing,val_elbo,val_kl_loss,val_reconstruction_loss,val_trainable_vars_tracker,loss
0,0.1603153795003891,0.4345712959766388,0.4646278917789459,0.0019460661569610238,0.009310618042945862,0.004997369833290577,0.48776566982269287,0.004999999888241291,0.011959714815020561,0.4522250294685364,0.001962922513484955,0.45518532395362854,0.0,4.976199626922607,1.9402796030044556,3.035919427871704,0.0,0.0,0.3781782388687134,0.4052709639072418,0.0,0.0,0.0,0.40472763776779175,0.0,0.0,0.4061782956123352,0.0,0.39991623163223267,1.0,8.044761657714844,7.947976112365723,0.09678532928228378,174.0,"<autoencoder name=autoencoder_5, built=False>"
1,0.0,0.5746596455574036,0.5787262320518494,0.0,0.0,0.0,0.5875668525695801,0.0,0.0,0.5779083967208862,0.0,0.5799616575241089,0.0,1.5442633628845215,1.376924753189087,0.16733859479427338,0.0,0.0,0.622623860836029,0.5865961909294128,0.0,0.0,0.0,0.5260927677154541,0.0,0.0,0.5769240856170654,0.0,0.5658235549926758,1.0,4.829916954040527,4.759886264801025,0.07003004103899002,174.0,"<autoencoder name=autoencoder_5, built=False>"
2,0.0,0.6065333485603333,0.6071789264678955,0.0,0.0,0.0,0.6197130084037781,0.0,0.0,0.6212791204452515,0.0,0.613628089427948,0.0,1.2572660446166992,1.0908095836639404,0.16645649075508118,0.0,0.0,0.5575050711631775,0.5485273599624634,0.0,0.0,0.0,0.5214657187461853,0.0,0.0,0.6450588703155518,0.0,0.5518776178359985,1.0,4.4022016525268555,4.329855918884277,0.07234618067741394,174.0,"<autoencoder name=autoencoder_5, built=False>"
3,0.0,0.6142190098762512,0.6290850043296814,0.0,0.0,0.0,0.6288268566131592,0.0,0.0,0.6014384031295776,0.0,0.6180301904678345,0.0,1.1611344814300537,1.013487696647644,0.1476467251777649,0.0,0.0,0.6270644664764404,0.5690298676490784,0.0,0.0,0.0,0.5252615213394165,0.0,0.0,0.6030808091163635,0.0,0.5662749409675598,0.0,3.3038811683654785,3.2336673736572266,0.07021371275186539,174.0,"<autoencoder name=autoencoder_5, built=False>"
4,0.0,0.6256994009017944,0.6213369965553284,0.0,0.0,0.0,0.6240552067756653,0.0,0.0,0.6334517598152161,0.0,0.6259104013442993,0.0,1.0811206102371216,0.949103057384491,0.13201767206192017,0.0,0.0,0.6139242649078369,0.5691274404525757,0.0,0.0,0.0,0.5884459614753723,0.0,0.0,0.6537619829177856,0.0,0.5986797213554382,1.0,2.0859978199005127,2.0198516845703125,0.06614594906568527,174.0,"<autoencoder name=autoencoder_5, built=False>"
5,0.0,0.6259029507637024,0.6361706256866455,0.0,0.0,0.0,0.6380356550216675,0.0,0.0,0.5971616506576538,0.0,0.6233869791030884,0.0,1.0786139965057373,0.9291424751281738,0.1494714766740799,0.0,0.0,0.6378476023674011,0.5710046887397766,0.0,0.0,0.0,0.5650070309638977,0.0,0.0,0.6288195252418518,0.0,0.5925977230072021,1.0,2.082982301712036,2.0157690048217773,0.06721338629722595,174.0,"<autoencoder name=autoencoder_5, built=False>"
6,0.0,0.6237807869911194,0.6270992755889893,0.0,0.0,0.0,0.6338236927986145,0.0,0.0,0.6374528408050537,0.0,0.6304864883422852,0.0,1.051727294921875,0.9313948750495911,0.12033239752054214,0.0,0.0,0.6609273552894592,0.5963038206100464,0.0,0.0,0.0,0.6064181923866272,0.0,0.0,0.5814370512962341,0.0,0.6070317625999451,1.0,1.7641524076461792,1.6980993747711182,0.06605304032564163,174.0,"<autoencoder name=autoencoder_5, built=False>"
7,0.0,0.6470617055892944,0.6337858438491821,0.0,0.0,0.0,0.636675238609314,0.0,0.0,0.6228018403053284,0.0,0.6347048282623291,0.0,1.0362975597381592,0.9029111862182617,0.1333862841129303,0.0,0.0,0.6058224439620972,0.6201958656311035,0.0,0.0,0.0,0.6312357783317566,0.0,0.0,0.6260082125663757,0.0,0.620135486125946,1.0,1.5883829593658447,1.5235704183578491,0.06481245160102844,174.0,"<autoencoder name=autoencoder_5, built=False>"
8,0.0,0.6428231000900269,0.6533216834068298,0.0,0.0,0.0,0.6379578113555908,0.0,0.0,0.629407525062561,0.0,0.6403791904449463,0.0,1.0189979076385498,0.8964617848396301,0.12253614515066147,0.0,0.0,0.6556923389434814,0.596606969833374,0.0,0.0,0.0,0.6230684518814087,0.0,0.0,0.5991779565811157,0.0,0.6164836287498474,1.0,1.4361165761947632,1.3698598146438599,0.0662568062543869,174.0,"<autoencoder name=autoencoder_5, built=False>"
9,0.0,0.6446208357810974,0.6444810628890991,0.0,0.0,0.0,0.6535826921463013,0.0,0.0,0.6425884962081909,0.0,0.6465065479278564,0.0,1.009148120880127,0.8873537182807922,0.12179438024759293,0.0,0.0,0.6346795558929443,0.6289730668067932,0.0,0.0,0.0,0.5996876955032349,0.0,0.0,0.6226447820663452,0.0,0.6202328205108643,0.0,1.3077218532562256,1.240186333656311,0.06753558665513992,174.0,"<autoencoder name=autoencoder_5, built=False>"
